Date,WL,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home,Week
8/30/14,W,63,Austin Peay St. (TN),0,"Memphis, TN",,2014,Memphis (TN),University of Memphis,1,1
8/30/14,W,36,Western Carolina (NC),31,"Tampa, FL",,2014,South Florida,University of South Florida,1,1
8/30/14,L,24,Penn St.,26,"Orlando, FL",,2014,Central Florida,University of Central Florida,1,1
8/30/14,W,30,Massachusetts,7,"Chestnut Hill, MA",,2014,Boston College (MA),Boston College,0,1
8/30/14,L,21,Georgia,45,"Clemson, SC",,2014,Clemson (SC),Clemson University,0,1
8/30/14,W,52,Elon (NC),13,"Durham, NC",,2014,Duke (NC),Duke University,1,1
8/30/14,W,37,Oklahoma St.,31,"Tallahassee, FL",,2014,Florida St.,Florida State University,1,1
8/30/14,W,38,Wofford (SC),19,"Atlanta, GA",,2014,Georgia Tech,Georgia Institute of Technology,1,1
8/30/14,W,56,Liberty (VA),29,"Chapel Hill, NC",,2014,North Carolina,North Carolina State University,1,1
8/30/14,W,24,Georgia Southern,23,"Raleigh, NC",,2014,North Carolina St.,University of North Carolina at Chapel Hill,1,1
8/30/14,W,62,Delaware,0,"Pittsburgh, PA",,2014,Pittsburgh (PA),University of Pittsburgh,1,1
8/30/14,L,20,UCLA,28,"Charlottesville, VA",,2014,Virginia,University of Virginia,1,1
8/30/14,W,34,William & Mary (VA),9,"Blacksburg, VA",,2014,Virginia Tech,Virginia Polytechnic Institute & State University,1,1
8/30/14,L,14,North Dakota St.,34,"Ames, IA",,2014,Iowa St.,Iowa State University,1,1
8/30/14,W,55,Stephen F. Austin (TX),16,"Manhattan, KS",,2014,Kansas St.,Kansas State University,1,1
8/30/14,W,48,Louisiana Tech,16,"Norman, OK",,2014,Oklahoma,University of Oklahoma,1,1
8/30/14,L,31,Florida St.,37,"Stillwater, OK",,2014,Oklahoma St.,Oklahoma State University,1,1
8/30/14,W,48,Samford (AL),14,"Fort Worth, TX",,2014,Texas Christian,Texas Christian University,1,1
8/30/14,W,38,North Texas,7,"Austin, TX",,2014,Texas,The University of Texas at Austin,1,1
8/30/14,W,42,Central Arkansas,35,"Lubbock, TX",,2014,Texas Tech,Texas Tech University,1,1
8/30/14,L,23,Alabama,33,"Morgantown, WV",,2014,West Virginia,West Virginia University,1,1
8/30/14,W,28,Youngstown St. (OH),17,"Champaign, IL",,2014,Illinois,University of Illinois at Urbana-Champaign,1,1
