WL,Date,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home
W,2018-11-24,35,Brigham Young (UT),27,"Salt Lake City, UT",,2018,Utah,University of Utah,1
L,2018-11-30,3,Washington,10,"Salt Lake City, UT",,2018,Utah,University of Utah,1
L,2018-12-31,20,Northwestern (IL),31,"Salt Lake City, UT",,2018,Utah,University of Utah,1
W,2019-10-12,27,Brigham Young (UT),23,"Tampa, FL",,2019,South Florida,University of South Florida,1
W,2019-12-31,38,Utah,10,"Austin, TX",,2019,Texas,The University of Texas at Austin,1
L,2019-11-09,24,Brigham Young (UT),31,"Lynchburg, VA",,2019,Liberty (VA),Liberty University,0
L,2019-08-29,12,Utah,30,"Provo, UT",,2019,Brigham Young (UT),Brigham Young University,1
W,2019-09-07,29,Tennessee,26,"Provo, UT",,2019,Brigham Young (UT),Brigham Young University,0
W,2019-09-14,30,Southern California,27,"Provo, UT",,2019,Brigham Young (UT),Brigham Young University,1
L,2019-09-21,19,Washington,45,"Provo, UT",,2019,Brigham Young (UT),Brigham Young University,1
L,2019-09-28,21,Toledo (OH),28,"Provo, UT",,2019,Brigham Young (UT),Brigham Young University,0
L,2019-10-12,23,South Florida,27,"Provo, UT",,2019,Brigham Young (UT),Brigham Young University,0
W,2019-10-19,28,Boise St. (ID),25,"Provo, UT",,2019,Brigham Young (UT),Brigham Young University,1
W,2019-11-02,42,Utah St.,14,"Provo, UT",,2019,Brigham Young (UT),Brigham Young University,0
W,2019-11-09,31,Liberty (VA),24,"Provo, UT",,2019,Brigham Young (UT),Brigham Young University,1
W,2019-11-16,42,Idaho St.,10,"Provo, UT",,2019,Brigham Young (UT),Brigham Young University,1
W,2019-11-23,56,Massachusetts,24,"Provo, UT",,2019,Brigham Young (UT),Brigham Young University,0
L,2019-11-30,3,San Diego St. (CA),13,"Provo, UT",,2019,Brigham Young (UT),Brigham Young University,0
L,2019-12-24,34,Hawaii,38,"Provo, UT",,2019,Brigham Young (UT),Brigham Young University,0
L,2019-11-23,24,Brigham Young (UT),56,"Foxboro, MA",,2019,Massachusetts,University of Massachusetts Amherst,1
L,2019-09-07,17,Utah,35,"DeKalb, IL",,2019,Northern Illinois,Northern Illinois University,0
W,2019-09-28,28,Brigham Young (UT),21,"Toledo, OH",,2019,Toledo (OH),University of Toledo,1
L,2019-10-19,25,Brigham Young (UT),28,"Boise, ID",,2019,Boise St. (ID),Boise State University,0
L,2019-11-02,14,Brigham Young (UT),42,"Logan, UT",,2019,Utah St.,Utah State University,1
W,2019-11-30,13,Brigham Young (UT),3,"San Diego, CA",,2019,San Diego St. (CA),San Diego State University,1
W,2019-12-24,38,Brigham Young (UT),34,"Honolulu, HI",,2019,Hawaii,University of Hawaii at Manoa,1
L,2019-10-26,0,Utah,35,"Berkeley, CA",,2019,California,University of California: Berkeley,0
W,2019-12-06,37,Utah,15,"Eugene, OR",,2019,Oregon,University of Oregon,1
L,2019-10-12,7,Utah,52,"Corvallis, OR",,2019,Oregon St.,Oregon State University,1
W,2019-09-21,45,Brigham Young (UT),19,"Seattle, WA",,2019,Washington,University of Washington,0
L,2019-11-02,28,Utah,33,"Seattle, WA",,2019,Washington,University of Washington,1
L,2019-09-28,13,Utah,38,"Pullman, WA",,2019,Washington St.,Washington State University,0
L,2019-10-19,3,Utah,21,"Tempe, AZ",,2019,Arizona St.,Arizona State University,0
L,2019-11-23,7,Utah,35,"Tucson, AZ",,2019,Arizona,University of Arizona,1
L,2019-11-30,15,Utah,45,"Boulder, CO",,2019,Colorado,University of Colorado at Boulder,0
L,2019-11-16,3,Utah,49,"Pasadena, CA",,2019,UCLA,University of California: Los Angeles,0
L,2019-09-14,27,Brigham Young (UT),30,"Los Angeles, CA",,2019,Southern California,University of Southern California,0
W,2019-09-20,30,Utah,23,"Los Angeles, CA",,2019,Southern California,University of Southern California,1
W,2019-08-29,30,Brigham Young (UT),12,"Salt Lake City, UT",,2019,Utah,University of Utah,0
W,2019-09-07,35,Northern Illinois,17,"Salt Lake City, UT",,2019,Utah,University of Utah,1
W,2019-09-14,31,Idaho St.,0,"Salt Lake City, UT",,2019,Utah,University of Utah,1
L,2019-09-20,23,Southern California,30,"Salt Lake City, UT",,2019,Utah,University of Utah,0
W,2019-09-28,38,Washington St.,13,"Salt Lake City, UT",,2019,Utah,University of Utah,1
W,2019-10-12,52,Oregon St.,7,"Salt Lake City, UT",,2019,Utah,University of Utah,0
W,2019-10-19,21,Arizona St.,3,"Salt Lake City, UT",,2019,Utah,University of Utah,1
W,2019-10-26,35,California,0,"Salt Lake City, UT",,2019,Utah,University of Utah,1
W,2019-11-02,33,Washington,28,"Salt Lake City, UT",,2019,Utah,University of Utah,0
W,2019-11-16,49,UCLA,3,"Salt Lake City, UT",,2019,Utah,University of Utah,1
W,2019-11-23,35,Arizona,7,"Salt Lake City, UT",,2019,Utah,University of Utah,0
W,2019-11-30,45,Colorado,15,"Salt Lake City, UT",,2019,Utah,University of Utah,1
L,2019-12-06,15,Oregon,37,"Salt Lake City, UT",,2019,Utah,University of Utah,1
L,2019-12-31,10,Texas,38,"Salt Lake City, UT",,2019,Utah,University of Utah,1
L,2019-09-07,26,Brigham Young (UT),29,"Knoxville, TN",,2019,Tennessee,University of Tennessee: Knoxville,1
