WL,Date,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home
L,2013-10-25,20,Brigham Young (UT),37,"Boise, ID",,2013,Boise St. (ID),Boise State University,0
L,2013-08-29,26,Utah,30,"Logan, UT",,2013,Utah St.,Utah State University,0
L,2013-10-04,14,Brigham Young (UT),31,"Logan, UT",,2013,Utah St.,Utah State University,1
L,2013-11-30,23,Brigham Young (UT),28,"Reno, NV",,2013,Nevada,University of Nevada: Reno,1
W,2013-11-16,44,Utah,21,"Eugene, OR",,2013,Oregon,University of Oregon,1
W,2013-09-14,51,Utah,48,"Corvallis, OR",,2013,Oregon St.,Oregon State University,0
L,2013-10-12,21,Utah,27,"Stanford, CA",,2013,Stanford (CA),Stanford University,0
W,2013-12-27,31,Brigham Young (UT),16,"Seattle, WA",,2013,Washington,University of Washington,1
W,2013-11-23,49,Utah,37,"Pullman, WA",,2013,Washington St.,Washington State University,1
W,2013-11-09,20,Utah,19,"Tempe, AZ",,2013,Arizona St.,Arizona State University,0
W,2013-10-19,35,Utah,24,"Tucson, AZ",,2013,Arizona,University of Arizona,1
