"Win","Date","Team","Opponent","ScoreOff","ScoreDef","Home"
0,2019-10-26,"Temple (PA)","Central Florida",21,63,1
1,2019-11-07,"Temple (PA)","South Florida",17,7,0
1,2019-11-16,"Temple (PA)","Tulane (LA)",29,21,1
0,2019-11-23,"Temple (PA)","Cincinnati (OH)",13,15,0
1,2019-11-30,"Temple (PA)","Connecticut",49,17,1
0,2019-12-27,"Temple (PA)","North Carolina",13,55,1
0,2019-08-30,"South Florida","Wisconsin",0,49,1
0,2019-09-07,"South Florida","Georgia Tech",10,14,0
1,2019-09-14,"South Florida","South Carolina St.",55,16,1
0,2019-09-28,"South Florida","Southern Methodist (TX)",21,48,1
1,2019-10-05,"South Florida","Connecticut",48,22,0
1,2019-10-12,"South Florida","Brigham Young (UT)",27,23,1
0,2019-10-19,"South Florida","Navy (MD)",3,35,0
1,2019-10-26,"South Florida","East Carolina (NC)",45,20,0
0,2019-11-07,"South Florida","Temple (PA)",7,17,1
0,2019-11-16,"South Florida","Cincinnati (OH)",17,20,1
0,2019-11-23,"South Florida","Memphis (TN)",10,49,1
0,2019-11-29,"South Florida","Central Florida",7,34,0
1,2019-08-31,"Southern Methodist (TX)","Arkansas St.",37,30,0
1,2019-09-07,"Southern Methodist (TX)","North Texas",49,27,1
1,2019-09-14,"Southern Methodist (TX)","Texas St.",47,17,1
1,2019-09-21,"Southern Methodist (TX)","Texas Christian",41,38,0
1,2019-09-28,"Southern Methodist (TX)","South Florida",48,21,0
1,2019-10-05,"Southern Methodist (TX)","Tulsa (OK)",43,37,1
1,2019-10-19,"Southern Methodist (TX)","Temple (PA)",45,21,1
1,2019-10-24,"Southern Methodist (TX)","Houston (TX)",34,31,0
0,2019-11-02,"Southern Methodist (TX)","Memphis (TN)",48,54,0
1,2019-11-09,"Southern Methodist (TX)","East Carolina (NC)",59,51,1
0,2019-11-23,"Southern Methodist (TX)","Navy (MD)",28,35,0
1,2019-11-30,"Southern Methodist (TX)","Tulane (LA)",37,20,1
0,2019-12-21,"Southern Methodist (TX)","Florida Atlantic",28,52,0
0,2019-09-07,"Tulane (LA)","Auburn (AL)",6,24,0
1,2019-09-14,"Tulane (LA)","Missouri St.",58,6,1
1,2019-09-19,"Tulane (LA)","Houston (TX)",38,31,1
1,2019-10-05,"Tulane (LA)","Army (NY)",42,33,0
1,2019-10-12,"Tulane (LA)","Connecticut",49,7,1
0,2019-10-19,"Tulane (LA)","Memphis (TN)",17,47,0
0,2019-10-26,"Tulane (LA)","Navy (MD)",38,41,0
1,2019-11-02,"Tulane (LA)","Tulsa (OK)",38,26,1
0,2019-11-16,"Tulane (LA)","Temple (PA)",21,29,0
0,2019-11-23,"Tulane (LA)","Central Florida",31,34,1
0,2019-11-30,"Tulane (LA)","Southern Methodist (TX)",20,37,0
1,2020-01-04,"Tulane (LA)","Southern Mississippi",30,13,1
1,2019-08-31,"Memphis (TN)","Mississippi",15,10,1
1,2019-09-07,"Memphis (TN)","Southern (LA)",55,24,1
1,2019-09-14,"Memphis (TN)","South Alabama",42,6,0
1,2019-09-26,"Memphis (TN)","Navy (MD)",35,23,1
1,2019-10-05,"Memphis (TN)","Louisiana-Monroe",52,33,0
0,2019-10-12,"Memphis (TN)","Temple (PA)",28,30,0
1,2019-10-19,"Memphis (TN)","Tulane (LA)",47,17,1
1,2019-10-26,"Memphis (TN)","Tulsa (OK)",42,41,0
1,2019-11-02,"Memphis (TN)","Southern Methodist (TX)",54,48,1
1,2019-11-16,"Memphis (TN)","Houston (TX)",45,27,0
1,2019-11-23,"Memphis (TN)","South Florida",49,10,0
1,2019-11-29,"Memphis (TN)","Cincinnati (OH)",34,24,1
1,2019-12-07,"Memphis (TN)","Cincinnati (OH)",29,24,1
0,2019-12-28,"Memphis (TN)","Penn St.",39,53,1
0,2019-09-01,"Houston (TX)","Oklahoma",31,49,0
0,2019-09-13,"Houston (TX)","Washington St.",24,31,1
0,2019-09-19,"Houston (TX)","Tulane (LA)",31,38,0
1,2019-09-28,"Houston (TX)","North Texas",46,25,0
0,2019-10-12,"Houston (TX)","Cincinnati (OH)",23,38,1
1,2019-10-19,"Houston (TX)","Connecticut",24,17,0
0,2019-10-24,"Houston (TX)","Southern Methodist (TX)",31,34,1
0,2019-11-02,"Houston (TX)","Central Florida",29,44,0
0,2019-11-16,"Houston (TX)","Memphis (TN)",27,45,1
1,2019-11-23,"Houston (TX)","Tulsa (OK)",24,14,0
0,2019-11-30,"Houston (TX)","Navy (MD)",41,56,1
0,2019-09-02,"Louisville (KY)","Notre Dame (IN)",17,35,1
1,2019-09-07,"Louisville (KY)","Eastern Kentucky",42,0,1
1,2019-09-14,"Louisville (KY)","Western Kentucky",38,21,1
0,2019-09-21,"Louisville (KY)","Florida St.",24,35,0
1,2019-10-05,"Louisville (KY)","Boston College (MA)",41,39,1
1,2019-10-12,"Louisville (KY)","Wake Forest (NC)",62,59,0
0,2019-10-19,"Louisville (KY)","Clemson (SC)",10,45,1
1,2019-10-26,"Louisville (KY)","Virginia",28,21,1
0,2019-11-09,"Louisville (KY)","Miami (FL)",27,52,0
1,2019-11-16,"Louisville (KY)","North Carolina St.",34,20,0
1,2019-11-23,"Louisville (KY)","Syracuse (NY)",56,34,1
0,2019-11-30,"Louisville (KY)","Kentucky",13,45,0
1,2019-12-30,"Louisville (KY)","Mississippi St.",38,28,1
0,2019-08-30,"Tulsa (OK)","Michigan St.",7,28,0
1,2019-09-07,"Tulsa (OK)","San Jose St. (CA)",34,16,0
0,2019-09-14,"Tulsa (OK)","Oklahoma St.",21,40,1
1,2019-09-21,"Tulsa (OK)","Wyoming",24,21,1
0,2019-10-05,"Tulsa (OK)","Southern Methodist (TX)",37,43,0
0,2019-10-12,"Tulsa (OK)","Navy (MD)",17,45,1
0,2019-10-19,"Tulsa (OK)","Cincinnati (OH)",13,24,0
0,2019-10-26,"Tulsa (OK)","Memphis (TN)",41,42,1
0,2019-11-02,"Tulsa (OK)","Tulane (LA)",26,38,0
1,2019-11-08,"Tulsa (OK)","Central Florida",34,31,1
0,2019-11-23,"Tulsa (OK)","Houston (TX)",14,24,1
1,2019-11-30,"Tulsa (OK)","East Carolina (NC)",49,24,0
1,2019-08-31,"Navy (MD)","Holy Cross (MA)",45,7,1
1,2019-09-14,"Navy (MD)","East Carolina (NC)",42,10,1
0,2019-09-26,"Navy (MD)","Memphis (TN)",23,35,0
1,2019-10-05,"Navy (MD)","Air Force (CO)",34,25,1
1,2019-10-12,"Navy (MD)","Tulsa (OK)",45,17,0
1,2019-10-19,"Navy (MD)","South Florida",35,3,1
1,2019-10-26,"Navy (MD)","Tulane (LA)",41,38,1
1,2019-11-01,"Navy (MD)","Connecticut",56,10,0
0,2019-11-16,"Navy (MD)","Notre Dame (IN)",20,52,0
1,2019-11-23,"Navy (MD)","Southern Methodist (TX)",35,28,1
1,2019-11-30,"Navy (MD)","Houston (TX)",56,41,0
1,2019-12-14,"Navy (MD)","Army (NY)",31,7,1
1,2019-12-31,"Navy (MD)","Kansas St.",20,17,1
1,2019-08-29,"Clemson (SC)","Georgia Tech",52,14,1
1,2019-09-07,"Clemson (SC)","Texas A&M",24,10,1
1,2019-09-14,"Clemson (SC)","Syracuse (NY)",41,6,0
1,2019-09-21,"Clemson (SC)","North Carolina-Charlotte",52,10,1
1,2019-09-28,"Clemson (SC)","North Carolina",21,20,0
1,2019-10-12,"Clemson (SC)","Florida St.",45,14,1
1,2019-10-19,"Clemson (SC)","Louisville (KY)",45,10,0
1,2019-10-26,"Clemson (SC)","Boston College (MA)",59,7,1
1,2019-11-02,"Clemson (SC)","Wofford (SC)",59,14,1
1,2019-11-09,"Clemson (SC)","North Carolina St.",55,10,0
1,2019-11-16,"Clemson (SC)","Wake Forest (NC)",52,3,1
1,2019-11-30,"Clemson (SC)","South Carolina",38,3,0
1,2019-12-07,"Clemson (SC)","Virginia",62,17,1
1,2019-12-28,"Clemson (SC)","Ohio St.",29,23,1
0,2020-01-13,"Clemson (SC)","Louisiana St.",25,42,1
0,2019-08-31,"Florida St.","Boise St. (ID)",31,36,1
1,2019-09-07,"Florida St.","Louisiana-Monroe",45,44,1
0,2019-09-14,"Florida St.","Virginia",24,31,0
1,2019-09-21,"Florida St.","Louisville (KY)",35,24,1
1,2019-09-28,"Florida St.","North Carolina St.",31,13,1
0,2019-10-12,"Florida St.","Clemson (SC)",14,45,0
0,2019-10-19,"Florida St.","Wake Forest (NC)",20,22,0
1,2019-10-26,"Florida St.","Syracuse (NY)",35,17,1
0,2019-11-02,"Florida St.","Miami (FL)",10,27,1
1,2019-11-09,"Florida St.","Boston College (MA)",38,31,0
1,2019-11-16,"Florida St.","Alabama St.",49,12,1
0,2019-11-30,"Florida St.","Florida",17,40,0
0,2019-12-31,"Florida St.","Arizona St.",14,20,1
1,2019-08-30,"Wake Forest (NC)","Utah St.",38,35,1
1,2019-09-06,"Wake Forest (NC)","Rice (TX)",41,21,0
1,2019-09-13,"Wake Forest (NC)","North Carolina",24,18,1
1,2019-09-21,"Wake Forest (NC)","Elon (NC)",49,7,1
1,2019-09-28,"Wake Forest (NC)","Boston College (MA)",27,24,0
0,2019-10-12,"Wake Forest (NC)","Louisville (KY)",59,62,1
1,2019-10-19,"Wake Forest (NC)","Florida St.",22,20,1
1,2019-11-02,"Wake Forest (NC)","North Carolina St.",44,10,1
0,2019-11-09,"Wake Forest (NC)","Virginia Tech",17,36,0
0,2019-11-16,"Wake Forest (NC)","Clemson (SC)",3,52,0
1,2019-11-23,"Wake Forest (NC)","Duke (NC)",39,27,1
0,2019-11-30,"Wake Forest (NC)","Syracuse (NY)",30,39,0
0,2019-12-27,"Wake Forest (NC)","Michigan St.",21,27,1
1,2019-08-31,"Boston College (MA)","Virginia Tech",35,28,1
1,2019-09-07,"Boston College (MA)","Richmond (VA)",45,13,1
0,2019-09-13,"Boston College (MA)","Kansas",24,48,1
1,2019-09-21,"Boston College (MA)","Rutgers (NJ)",30,16,0
0,2019-09-28,"Boston College (MA)","Wake Forest (NC)",24,27,1
0,2019-10-05,"Boston College (MA)","Louisville (KY)",39,41,0
1,2019-10-19,"Boston College (MA)","North Carolina St.",45,24,1
0,2019-10-26,"Boston College (MA)","Clemson (SC)",7,59,0
1,2019-11-02,"Boston College (MA)","Syracuse (NY)",58,27,0
0,2019-11-09,"Boston College (MA)","Florida St.",31,38,1
0,2019-11-23,"Boston College (MA)","Notre Dame (IN)",7,40,0
1,2019-11-30,"Boston College (MA)","Pittsburgh (PA)",26,19,0
0,2020-01-02,"Boston College (MA)","Cincinnati (OH)",6,38,1
0,2019-08-24,"Miami (FL)","Florida",20,24,1
0,2019-09-07,"Miami (FL)","North Carolina",25,28,0
1,2019-09-14,"Miami (FL)","Bethune-Cookman (FL)",63,0,1
1,2019-09-21,"Miami (FL)","Central Michigan",17,12,1
0,2019-10-05,"Miami (FL)","Virginia Tech",35,42,1
1,2019-10-11,"Miami (FL)","Virginia",17,9,1
0,2019-10-19,"Miami (FL)","Georgia Tech",21,28,1
1,2019-10-26,"Miami (FL)","Pittsburgh (PA)",16,12,0
1,2019-11-02,"Miami (FL)","Florida St.",27,10,0
1,2019-11-09,"Miami (FL)","Louisville (KY)",52,27,1
0,2019-11-30,"Miami (FL)","Duke (NC)",17,27,0
0,2019-12-26,"Miami (FL)","Louisiana Tech",0,14,1
1,2019-08-31,"North Carolina St.","East Carolina (NC)",34,6,1
1,2019-09-07,"North Carolina St.","Western Carolina (NC)",41,0,1
0,2019-09-14,"North Carolina St.","West Virginia",27,44,0
1,2019-09-21,"North Carolina St.","Ball St. (IN)",34,23,1
0,2019-09-28,"North Carolina St.","Florida St.",13,31,0
1,2019-10-10,"North Carolina St.","Syracuse (NY)",16,10,1
0,2019-10-19,"North Carolina St.","Boston College (MA)",24,45,0
0,2019-11-02,"North Carolina St.","Wake Forest (NC)",10,44,0
0,2019-11-09,"North Carolina St.","Clemson (SC)",10,55,1
0,2019-11-16,"North Carolina St.","Louisville (KY)",20,34,1
0,2019-11-21,"North Carolina St.","Georgia Tech",26,28,0
0,2019-11-30,"North Carolina St.","North Carolina",10,41,1
0,2019-08-31,"Virginia Tech","Boston College (MA)",28,35,0
1,2019-09-07,"Virginia Tech","Old Dominion (VA)",31,17,1
1,2019-09-14,"Virginia Tech","Furman (SC)",24,17,1
0,2019-09-27,"Virginia Tech","Duke (NC)",10,45,1
1,2019-10-05,"Virginia Tech","Miami (FL)",42,35,0
1,2019-10-12,"Virginia Tech","Rhode Island",34,17,1
1,2019-10-19,"Virginia Tech","North Carolina",43,41,1
0,2019-11-02,"Virginia Tech","Notre Dame (IN)",20,21,0
1,2019-11-09,"Virginia Tech","Wake Forest (NC)",36,17,1
1,2019-11-16,"Virginia Tech","Georgia Tech",45,0,0
1,2019-11-23,"Virginia Tech","Pittsburgh (PA)",28,0,1
0,2019-11-29,"Virginia Tech","Virginia",30,39,0
0,2019-12-31,"Virginia Tech","Kentucky",30,37,1
1,2019-08-31,"Virginia","Pittsburgh (PA)",30,14,0
1,2019-09-06,"Virginia","William & Mary (VA)",52,17,1
1,2019-09-14,"Virginia","Florida St.",31,24,1
1,2019-09-21,"Virginia","Old Dominion (VA)",28,17,1
0,2019-09-28,"Virginia","Notre Dame (IN)",20,35,0
0,2019-10-11,"Virginia","Miami (FL)",9,17,0
1,2019-10-19,"Virginia","Duke (NC)",48,14,1
0,2019-10-26,"Virginia","Louisville (KY)",21,28,0
1,2019-11-02,"Virginia","North Carolina",38,31,0
1,2019-11-09,"Virginia","Georgia Tech",33,28,1
1,2019-11-23,"Virginia","Liberty (VA)",55,27,1
1,2019-11-29,"Virginia","Virginia Tech",39,30,1
0,2019-12-07,"Virginia","Clemson (SC)",17,62,1
0,2019-12-30,"Virginia","Florida",28,36,1
1,2019-08-31,"Syracuse (NY)","Liberty (VA)",24,0,0
0,2019-09-07,"Syracuse (NY)","Maryland",20,63,0
0,2019-09-14,"Syracuse (NY)","Clemson (SC)",6,41,1
1,2019-09-21,"Syracuse (NY)","Western Michigan",52,33,1
1,2019-09-28,"Syracuse (NY)","Holy Cross (MA)",41,3,1
0,2019-10-10,"Syracuse (NY)","North Carolina St.",10,16,0
0,2019-10-18,"Syracuse (NY)","Pittsburgh (PA)",20,27,1
0,2019-10-26,"Syracuse (NY)","Florida St.",17,35,0
0,2019-11-02,"Syracuse (NY)","Boston College (MA)",27,58,1
1,2019-11-16,"Syracuse (NY)","Duke (NC)",49,6,0
0,2019-11-23,"Syracuse (NY)","Louisville (KY)",34,56,0
1,2019-11-30,"Syracuse (NY)","Wake Forest (NC)",39,30,1
0,2019-08-31,"Pittsburgh (PA)","Virginia",14,30,1
1,2019-09-07,"Pittsburgh (PA)","Ohio",20,10,1
0,2019-09-14,"Pittsburgh (PA)","Penn St.",10,17,0
1,2019-09-21,"Pittsburgh (PA)","Central Florida",35,34,1
1,2019-09-28,"Pittsburgh (PA)","Delaware",17,14,1
1,2019-10-05,"Pittsburgh (PA)","Duke (NC)",33,30,0
1,2019-10-18,"Pittsburgh (PA)","Syracuse (NY)",27,20,0
0,2019-10-26,"Pittsburgh (PA)","Miami (FL)",12,16,1
1,2019-11-02,"Pittsburgh (PA)","Georgia Tech",20,10,0
1,2019-11-14,"Pittsburgh (PA)","North Carolina",34,27,1
0,2019-11-23,"Pittsburgh (PA)","Virginia Tech",0,28,0
0,2019-11-30,"Pittsburgh (PA)","Boston College (MA)",19,26,1
1,2019-12-26,"Pittsburgh (PA)","Eastern Michigan",34,30,1
1,2019-08-31,"North Carolina","South Carolina",24,20,1
1,2019-09-07,"North Carolina","Miami (FL)",28,25,1
0,2019-09-13,"North Carolina","Wake Forest (NC)",18,24,0
0,2019-09-21,"North Carolina","Appalachian State (NC)",31,34,1
0,2019-09-28,"North Carolina","Clemson (SC)",20,21,1
1,2019-10-05,"North Carolina","Georgia Tech",38,22,0
0,2019-10-19,"North Carolina","Virginia Tech",41,43,0
1,2019-10-26,"North Carolina","Duke (NC)",20,17,1
0,2019-11-02,"North Carolina","Virginia",31,38,1
0,2019-11-14,"North Carolina","Pittsburgh (PA)",27,34,0
1,2019-11-23,"North Carolina","Mercer (GA)",56,7,1
1,2019-11-30,"North Carolina","North Carolina St.",41,10,0
1,2019-12-27,"North Carolina","Temple (PA)",55,13,1
1,2019-09-01,"Oklahoma","Houston (TX)",49,31,1
1,2019-09-07,"Oklahoma","South Dakota",70,14,1
1,2019-09-14,"Oklahoma","UCLA",48,14,0
1,2019-09-28,"Oklahoma","Texas Tech",55,16,1
1,2019-10-05,"Oklahoma","Kansas",45,20,0
1,2019-10-12,"Oklahoma","Texas",34,27,1
1,2019-10-19,"Oklahoma","West Virginia",52,14,1
0,2019-10-26,"Oklahoma","Kansas St.",41,48,0
1,2019-11-09,"Oklahoma","Iowa St.",42,41,1
1,2019-11-16,"Oklahoma","Baylor (TX)",34,31,0
1,2019-11-23,"Oklahoma","Texas Christian",28,24,1
1,2019-11-30,"Oklahoma","Oklahoma St.",34,16,0
1,2019-12-07,"Oklahoma","Baylor (TX)",30,23,1
0,2019-12-28,"Oklahoma","Louisiana St.",28,63,1
0,2019-08-31,"Duke (NC)","Alabama",3,42,1
1,2019-09-07,"Duke (NC)","North Carolina A&T",45,13,1
1,2019-09-14,"Duke (NC)","Middle Tennessee St.",41,18,0
1,2019-09-27,"Duke (NC)","Virginia Tech",45,10,0
0,2019-10-05,"Duke (NC)","Pittsburgh (PA)",30,33,1
1,2019-10-12,"Duke (NC)","Georgia Tech",41,23,1
0,2019-10-19,"Duke (NC)","Virginia",14,48,0
0,2019-10-26,"Duke (NC)","North Carolina",17,20,0
0,2019-11-09,"Duke (NC)","Notre Dame (IN)",7,38,1
0,2019-11-16,"Duke (NC)","Syracuse (NY)",6,49,1
0,2019-11-23,"Duke (NC)","Wake Forest (NC)",27,39,0
1,2019-11-30,"Duke (NC)","Miami (FL)",27,17,1
1,2019-08-31,"Baylor (TX)","Stephen F. Austin (TX)",56,17,1
1,2019-09-07,"Baylor (TX)","Texas-San Antonio",63,14,1
1,2019-09-21,"Baylor (TX)","Rice (TX)",21,13,0
1,2019-09-28,"Baylor (TX)","Iowa St.",23,21,1
1,2019-10-05,"Baylor (TX)","Kansas St.",31,12,0
1,2019-10-12,"Baylor (TX)","Texas Tech",33,30,1
1,2019-10-19,"Baylor (TX)","Oklahoma St.",45,27,0
1,2019-10-31,"Baylor (TX)","West Virginia",17,14,1
1,2019-11-09,"Baylor (TX)","Texas Christian",29,23,0
0,2019-11-16,"Baylor (TX)","Oklahoma",31,34,1
1,2019-11-23,"Baylor (TX)","Texas",24,10,1
1,2019-11-30,"Baylor (TX)","Kansas",61,6,0
0,2019-12-07,"Baylor (TX)","Oklahoma",23,30,1
0,2020-01-01,"Baylor (TX)","Georgia",14,26,1
0,2019-08-29,"Georgia Tech","Clemson (SC)",14,52,0
1,2019-09-07,"Georgia Tech","South Florida",14,10,1
0,2019-09-14,"Georgia Tech","Citadel (SC)",24,27,1
0,2019-09-28,"Georgia Tech","Temple (PA)",2,24,0
0,2019-10-05,"Georgia Tech","North Carolina",22,38,1
0,2019-10-12,"Georgia Tech","Duke (NC)",23,41,0
1,2019-10-19,"Georgia Tech","Miami (FL)",28,21,0
0,2019-11-02,"Georgia Tech","Pittsburgh (PA)",10,20,1
0,2019-11-09,"Georgia Tech","Virginia",28,33,0
0,2019-11-16,"Georgia Tech","Virginia Tech",0,45,1
1,2019-11-21,"Georgia Tech","North Carolina St.",28,26,1
0,2019-11-30,"Georgia Tech","Georgia",7,52,1
1,2019-08-31,"Kansas St.","Nicholls St. (LA)",49,14,1
1,2019-09-07,"Kansas St.","Bowling Green (OH)",52,0,1
1,2019-09-14,"Kansas St.","Mississippi St.",31,24,0
0,2019-09-28,"Kansas St.","Oklahoma St.",13,26,0
0,2019-10-05,"Kansas St.","Baylor (TX)",12,31,1
1,2019-10-19,"Kansas St.","Texas Christian",24,17,1
1,2019-10-26,"Kansas St.","Oklahoma",48,41,1
1,2019-11-02,"Kansas St.","Kansas",38,10,0
0,2019-11-09,"Kansas St.","Texas",24,27,0
0,2019-11-16,"Kansas St.","West Virginia",20,24,1
1,2019-11-23,"Kansas St.","Texas Tech",30,27,0
1,2019-11-30,"Kansas St.","Iowa St.",27,17,1
0,2019-12-31,"Kansas St.","Navy (MD)",17,20,1
1,2019-08-31,"Texas","Louisiana Tech",45,14,1
0,2019-09-07,"Texas","Louisiana St.",38,45,1
1,2019-09-14,"Texas","Rice (TX)",48,13,1
1,2019-09-21,"Texas","Oklahoma St.",36,30,1
1,2019-10-05,"Texas","West Virginia",42,31,0
0,2019-10-12,"Texas","Oklahoma",27,34,1
1,2019-10-19,"Texas","Kansas",50,48,1
0,2019-10-26,"Texas","Texas Christian",27,37,0
1,2019-11-09,"Texas","Kansas St.",27,24,1
0,2019-11-16,"Texas","Iowa St.",21,23,0
0,2019-11-23,"Texas","Baylor (TX)",10,24,0
1,2019-11-29,"Texas","Texas Tech",49,24,1
1,2019-12-31,"Texas","Utah",38,10,1
1,2019-08-30,"Oklahoma St.","Oregon St.",52,36,0
1,2019-09-07,"Oklahoma St.","McNeese St. (LA)",56,14,1
1,2019-09-14,"Oklahoma St.","Tulsa (OK)",40,21,0
0,2019-09-21,"Oklahoma St.","Texas",30,36,0
1,2019-09-28,"Oklahoma St.","Kansas St.",26,13,1
0,2019-10-05,"Oklahoma St.","Texas Tech",35,45,0
0,2019-10-19,"Oklahoma St.","Baylor (TX)",27,45,1
1,2019-10-26,"Oklahoma St.","Iowa St.",34,27,0
1,2019-11-02,"Oklahoma St.","Texas Christian",34,27,1
1,2019-11-16,"Oklahoma St.","Kansas",31,13,1
1,2019-11-23,"Oklahoma St.","West Virginia",20,13,0
0,2019-11-30,"Oklahoma St.","Oklahoma",16,34,1
0,2019-12-27,"Oklahoma St.","Texas A&M",21,24,1
1,2019-08-31,"Iowa St.","Northern Iowa",29,26,1
0,2019-09-14,"Iowa St.","Iowa",17,18,1
1,2019-09-21,"Iowa St.","Louisiana-Monroe",72,20,1
0,2019-09-28,"Iowa St.","Baylor (TX)",21,23,0
1,2019-10-05,"Iowa St.","Texas Christian",49,24,1
1,2019-10-12,"Iowa St.","West Virginia",38,14,0
1,2019-10-19,"Iowa St.","Texas Tech",34,24,0
0,2019-10-26,"Iowa St.","Oklahoma St.",27,34,1
0,2019-11-09,"Iowa St.","Oklahoma",41,42,0
1,2019-11-16,"Iowa St.","Texas",23,21,1
1,2019-11-23,"Iowa St.","Kansas",41,31,1
0,2019-11-30,"Iowa St.","Kansas St.",17,27,0
0,2019-12-28,"Iowa St.","Notre Dame (IN)",9,33,1
1,2019-08-31,"Kansas","Indiana St.",24,17,1
0,2019-09-07,"Kansas","Coastal Carolina (SC)",7,12,1
1,2019-09-13,"Kansas","Boston College (MA)",48,24,0
0,2019-09-21,"Kansas","West Virginia",24,29,1
0,2019-09-28,"Kansas","Texas Christian",14,51,0
0,2019-10-05,"Kansas","Oklahoma",20,45,1
0,2019-10-19,"Kansas","Texas",48,50,0
1,2019-10-26,"Kansas","Texas Tech",37,34,1
0,2019-11-02,"Kansas","Kansas St.",10,38,1
0,2019-11-16,"Kansas","Oklahoma St.",13,31,0
0,2019-11-23,"Kansas","Iowa St.",31,41,0
0,2019-11-30,"Kansas","Baylor (TX)",6,61,1
1,2019-08-31,"West Virginia","James Madison (VA)",20,13,1
0,2019-09-07,"West Virginia","Missouri",7,38,0
1,2019-09-14,"West Virginia","North Carolina St.",44,27,1
1,2019-09-21,"West Virginia","Kansas",29,24,0
0,2019-10-05,"West Virginia","Texas",31,42,1
0,2019-10-12,"West Virginia","Iowa St.",14,38,1
0,2019-10-19,"West Virginia","Oklahoma",14,52,0
0,2019-10-31,"West Virginia","Baylor (TX)",14,17,0
0,2019-11-09,"West Virginia","Texas Tech",17,38,1
1,2019-11-16,"West Virginia","Kansas St.",24,20,0
