"Win","Date","Team","Opponent","ScoreOff","ScoreDef","Home"
1,2019-08-29,"Connecticut","Wagner (NY)",24,21,1
0,2019-09-07,"Connecticut","Illinois",23,31,1
0,2019-09-21,"Connecticut","Indiana",3,38,0
0,2019-09-28,"Connecticut","Central Florida",21,56,0
0,2019-10-05,"Connecticut","South Florida",22,48,1
0,2019-10-12,"Connecticut","Tulane (LA)",7,49,0
0,2019-10-19,"Connecticut","Houston (TX)",17,24,1
1,2019-10-26,"Connecticut","Massachusetts",56,35,0
0,2019-11-01,"Connecticut","Navy (MD)",10,56,1
0,2019-11-09,"Connecticut","Cincinnati (OH)",3,48,0
0,2019-11-23,"Connecticut","East Carolina (NC)",24,31,1
0,2019-11-30,"Connecticut","Temple (PA)",17,49,0
1,2019-08-29,"Central Florida","Florida A&M",62,0,1
1,2019-09-07,"Central Florida","Florida Atlantic",48,14,0
1,2019-09-14,"Central Florida","Stanford (CA)",45,27,1
0,2019-09-21,"Central Florida","Pittsburgh (PA)",34,35,0
1,2019-09-28,"Central Florida","Connecticut",56,21,1
0,2019-10-04,"Central Florida","Cincinnati (OH)",24,27,0
1,2019-10-19,"Central Florida","East Carolina (NC)",41,28,1
1,2019-10-26,"Central Florida","Temple (PA)",63,21,0
1,2019-11-02,"Central Florida","Houston (TX)",44,29,1
0,2019-11-08,"Central Florida","Tulsa (OK)",31,34,0
1,2019-11-23,"Central Florida","Tulane (LA)",34,31,0
1,2019-11-29,"Central Florida","South Florida",34,7,1
1,2019-12-23,"Central Florida","Marshall (WV)",48,25,1
0,2019-08-31,"East Carolina (NC)","North Carolina St.",6,34,0
1,2019-09-07,"East Carolina (NC)","Gardner-Webb (NC)",48,9,1
0,2019-09-14,"East Carolina (NC)","Navy (MD)",10,42,0
1,2019-09-21,"East Carolina (NC)","William & Mary (VA)",19,7,1
1,2019-09-28,"East Carolina (NC)","Old Dominion (VA)",24,21,0
0,2019-10-03,"East Carolina (NC)","Temple (PA)",17,27,1
0,2019-10-19,"East Carolina (NC)","Central Florida",28,41,0
0,2019-10-26,"East Carolina (NC)","South Florida",20,45,1
0,2019-11-02,"East Carolina (NC)","Cincinnati (OH)",43,46,1
0,2019-11-09,"East Carolina (NC)","Southern Methodist (TX)",51,59,0
1,2019-11-23,"East Carolina (NC)","Connecticut",31,24,0
0,2019-11-30,"East Carolina (NC)","Tulsa (OK)",24,49,1
1,2019-08-29,"Cincinnati (OH)","UCLA",24,14,1
0,2019-09-07,"Cincinnati (OH)","Ohio St.",0,42,0
1,2019-09-14,"Cincinnati (OH)","Miami (OH)",35,13,1
1,2019-09-28,"Cincinnati (OH)","Marshall (WV)",52,14,0
1,2019-10-04,"Cincinnati (OH)","Central Florida",27,24,1
1,2019-10-12,"Cincinnati (OH)","Houston (TX)",38,23,0
1,2019-10-19,"Cincinnati (OH)","Tulsa (OK)",24,13,1
1,2019-11-02,"Cincinnati (OH)","East Carolina (NC)",46,43,0
1,2019-11-09,"Cincinnati (OH)","Connecticut",48,3,1
1,2019-11-16,"Cincinnati (OH)","South Florida",20,17,0
1,2019-11-23,"Cincinnati (OH)","Temple (PA)",15,13,1
0,2019-11-29,"Cincinnati (OH)","Memphis (TN)",24,34,0
0,2019-12-07,"Cincinnati (OH)","Memphis (TN)",24,29,0
1,2020-01-02,"Cincinnati (OH)","Boston College (MA)",38,6,1
1,2019-08-31,"Temple (PA)","Bucknell (PA)",56,12,1
1,2019-09-14,"Temple (PA)","Maryland",20,17,1
0,2019-09-21,"Temple (PA)","Buffalo (NY)",22,38,0
1,2019-09-28,"Temple (PA)","Georgia Tech",24,2,1
1,2019-10-03,"Temple (PA)","East Carolina (NC)",27,17,0
1,2019-10-12,"Temple (PA)","Memphis (TN)",30,28,1
0,2019-10-19,"Temple (PA)","Southern Methodist (TX)",21,45,0
