"","Team","Opponent","ScoreOff","ScoreDef","TotYardsOff","TotPlaysOff","YdsPlayOff","PassingOff","CmpAttOff","YdsPassOff","RushingOff","RushesOff","YdsRushOff","FirstDownOff","PassOff","RushOff","PenaltyOff","PenaltiesOff","YdsOff","TurnoversOff","FumLostOff","IntThrownOff","TotYardsDef","TotPlaysDef","YdsPlayDef","PassingDef","CmpAttDef","YdsPassDef","RushingDef","RushesDef","YdsRushDef","FirstDownDef","PassDef","RushDef","PenaltyDef","PenaltiesDef","YdsDef","TurnoversDef","FumLostDef","IntThrownDef"
"DE","DE","PITT","0","62","64","47","1.4","31","9-16","1.9","33","31","1.1","5","2","2","1","7","47","3","0","3","501","70","7.2","92","11-14","6.6","409","56","7.3","29","7","21","1","5","45","1","1","0"
"PITT","PITT","DE","62","0","501","70","7.2","92","11-14","6.6","409","56","7.3","29","7","21","1","5","45","1","1","0","64","47","1.4","31","9-16","1.9","33","31","1.1","5","2","2","1","7","47","3","0","3"
"WMI","WMI","PUR","34","43","456","73","6.2","205","18-36","5.7","251","37","6.8","24","11","12","1","5","35","1","0","1","407","77","5.3","181","19-38","4.8","226","39","5.8","22","10","11","1","7","52","0","0","0"
"PUR","PUR","WMI","43","34","407","77","5.3","181","19-38","4.8","226","39","5.8","22","10","11","1","7","52","0","0","0","456","73","6.2","205","18-36","5.7","251","37","6.8","24","11","12","1","5","35","1","0","1"
"NAZ","NAZ","SDGST","7","38","312","64","4.9","188","15-28","6.7","124","36","3.4","14","8","6","0","4","50","1","0","1","399","66","6.0","205","18-29","7.1","194","37","5.2","25","11","11","3","5","29","1","0","1"
"SDGST","SDGST","NAZ","38","7","399","66","6.0","205","18-29","7.1","194","37","5.2","25","11","11","3","5","29","1","0","1","312","64","4.9","188","15-28","6.7","124","36","3.4","14","8","6","0","4","50","1","0","1"
"WCAR","WCAR","SFL","31","36","454","96","4.7","374","46-67","5.6","80","29","2.8","27","18","9","0","5","45","2","1","1","485","60","8.1","191","10-27","7.1","294","33","8.9","13","6","6","1","6","38","2","1","1"
"SFL","SFL","WCAR","36","31","485","60","8.1","191","10-27","7.1","294","33","8.9","13","6","6","1","6","38","2","1","1","454","96","4.7","374","46-67","5.6","80","29","2.8","27","18","9","0","5","45","2","1","1"
"FREST","FREST","SCA","13","52","317","69","4.6","160","18-36","4.4","157","33","4.8","17","8","6","3","5","47","4","0","4","701","105","6.7","424","28-41","10.3","277","64","4.3","37","17","19","1","9","76","2","2","0"
"SCA","SCA","FREST","52","13","701","105","6.7","424","28-41","10.3","277","64","4.3","37","17","19","1","9","76","2","2","0","317","69","4.6","160","18-36","4.4","157","33","4.8","17","8","6","3","5","47","4","0","4"
"CADAV","CADAV","STAN","0","45","115","49","2.3","54","12-22","2.5","61","27","2.3","6","3","2","1","5","42","3","1","2","461","62","7.4","312","21-30","10.4","149","32","4.7","21","13","8","0","4","40","3","2","1"
"STAN","STAN","CADAV","45","0","461","62","7.4","312","21-30","10.4","149","32","4.7","21","13","8","0","4","40","3","2","1","115","49","2.3","54","12-22","2.5","61","27","2.3","6","3","2","1","5","42","3","1","2"
"NTX","NTX","TX","7","38","94","60","1.6","15","3-17","0.9","79","43","1.8","8","0","6","2","6","56","4","0","4","353","74","4.8","190","19-34","5.6","163","40","4.1","18","10","6","2","7","65","2","2","0"
"TX","TX","NTX","38","7","353","74","4.8","190","19-34","5.6","163","40","4.1","18","10","6","2","7","65","2","2","0","94","60","1.6","15","3-17","0.9","79","43","1.8","8","0","6","2","6","56","4","0","4"
"SAMF","SAMF","TXX","14","48","143","67","2.1","56","10-20","2.8","87","47","1.9","9","3","6","0","3","35","2","1","1","555","96","5.8","355","33-50","7.1","200","46","4.3","33","17","15","1","4","60","2","1","1"
"TXX","TXX","SAMF","48","14","555","96","5.8","355","33-50","7.1","200","46","4.3","33","17","15","1","4","60","2","1","1","143","67","2.1","56","10-20","2.8","87","47","1.9","9","3","6","0","3","35","2","1","1"
"ARPB","ARPB","TXST","0","65","215","60","3.6","88","9-21","4.2","127","39","3.3","14","6","5","3","8","37","2","2","0","697","80","8.7","319","25-30","10.6","378","50","7.6","39","18","19","2","8","90","1","1","0"
"TXST","TXST","ARPB","65","0","697","80","8.7","319","25-30","10.6","378","50","7.6","39","18","19","2","8","90","1","1","0","215","60","3.6","88","9-21","4.2","127","39","3.3","14","6","5","3","8","37","2","2","0"
"CAR","CAR","TXTECH","35","42","406","94","4.3","228","24-40","5.7","178","54","3.3","28","13","13","2","5","34","0","0","0","636","89","7.1","452","39-53","8.5","184","36","5.1","35","25","10","0","15","114","2","0","2"
"TXTECH","TXTECH","CAR","42","35","636","89","7.1","452","39-53","8.5","184","36","5.1","35","25","10","0","15","114","2","0","2","406","94","4.3","228","24-40","5.7","178","54","3.3","28","13","13","2","5","34","0","0","0"
"TXEP","TXEP","NM","31","24","446","66","6.8","116","11-22","5.3","330","44","7.5","20","5","14","1","2","10","0","0","0","477","61","7.8","67","5-9","7.4","410","52","7.9","20","3","17","0","3","25","3","2","1"
"NM","NM","TXEP","24","31","477","61","7.8","67","5-9","7.4","410","52","7.9","20","3","17","0","3","25","3","2","1","446","66","6.8","116","11-22","5.3","330","44","7.5","20","5","14","1","2","10","0","0","0"
"NH","NH","TOL","20","54","375","76","4.9","338","31-45","7.5","37","31","1.2","24","15","6","3","6","33","1","0","1","674","79","8.5","360","25-36","10.0","314","43","7.3","34","18","15","1","3","37","0","0","0"
"TOL","TOL","NH","54","20","674","79","8.5","360","25-36","10.0","314","43","7.3","34","18","15","1","3","37","0","0","0","375","76","4.9","338","31-45","7.5","37","31","1.2","24","15","6","3","6","33","1","0","1"
"UCLA","UCLA","VA","28","20","358","73","4.9","242","20-34","7.1","116","39","3.0","16","9","7","0","12","87","2","2","0","386","84","4.6","266","29-45","5.9","120","39","3.1","17","12","3","2","4","20","3","1","2"
"VA","VA","UCLA","20","28","386","84","4.6","266","29-45","5.9","120","39","3.1","17","12","3","2","4","20","3","1","2","358","73","4.9","242","20-34","7.1","116","39","3.0","16","9","7","0","12","87","2","2","0"
"WMMARY","WMMARY","VATECH","9","34","193","51","3.8","117","9-23","5.1","76","28","2.7","12","6","4","2","4","26","2","2","0","488","73","6.7","266","24-31","8.6","222","42","5.3","24","9","12","3","10","75","2","1","1"
"VATECH","VATECH","WMMARY","34","9","488","73","6.7","266","24-31","8.6","222","42","5.3","24","9","12","3","10","75","2","1","1","193","51","3.8","117","9-23","5.1","76","28","2.7","12","6","4","2","4","26","2","2","0"
"WA","WA","HI","17","16","336","74","4.5","162","10-26","6.2","174","48","3.6","19","5","12","2","5","35","0","0","0","424","97","4.4","207","23-43","4.8","217","54","4.0","26","11","13","2","5","36","0","0","0"
"HI","HI","WA","16","17","424","97","4.4","207","23-43","4.8","217","54","4.0","26","11","13","2","5","36","0","0","0","336","74","4.5","162","10-26","6.2","174","48","3.6","19","5","12","2","5","35","0","0","0"
"MT","MT","WY","12","17","253","65","3.9","211","25-46","4.6","42","19","2.2","16","13","3","0","3","25","0","0","0","301","67","4.5","92","13-21","4.4","209","46","4.5","18","6","10","2","1","4","2","1","1"
"WY","WY","MT","17","12","301","67","4.5","92","13-21","4.4","209","46","4.5","18","6","10","2","1","4","2","1","1","253","65","3.9","211","25-46","4.6","42","19","2.2","16","13","3","0","3","25","0","0","0"
"SMETH","SMETH","BAY","0","45","67","64","1.0","91","21-39","2.3","-24","25","-1.0","7","4","2","1","4","40","3","2","1","574","97","5.9","313","27-47","6.7","261","50","5.2","31","15","15","1","11","96","2","1","1"
"BAY","BAY","SMETH","45","0","574","97","5.9","313","27-47","6.7","261","50","5.2","31","15","15","1","11","96","2","1","1","67","64","1.0","91","21-39","2.3","-24","25","-1.0","7","4","2","1","4","40","3","2","1"
"UTST","UTST","TN","7","38","244","59","4.1","144","18-35","4.1","100","24","4.2","11","6","4","1","5","42","3","1","2","383","79","4.8","273","28-40","6.8","110","39","2.8","24","13","8","3","6","40","0","0","0"
"TN","TN","UTST","38","7","383","79","4.8","273","28-40","6.8","110","39","2.8","24","13","8","3","6","40","0","0","0","244","59","4.1","144","18-35","4.1","100","24","4.2","11","6","4","1","5","42","3","1","2"
"MIAFL","MIAFL","LOU","13","31","244","56","4.4","174","17-29","6.0","70","27","2.6","12","6","4","2","7","46","3","1","2","336","71","4.7","206","20-28","7.4","130","43","3.0","21","10","11","0","7","57","2","2","0"
"LOU","LOU","MIAFL","31","13","336","71","4.7","206","20-28","7.4","130","43","3.0","21","10","11","0","7","57","2","2","0","244","56","4.4","174","17-29","6.0","70","27","2.6","12","6","4","2","7","46","3","1","2"
"AZ1","AZ","TXSA","26","23","454","76","6.0","231","17-32","7.2","223","44","5.1","22","8","11","3","8","73","0","0","0","349","72","4.8","228","22-33","6.9","121","39","3.1","23","14","6","3","6","53","1","0","1"
"TXSA1","TXSA","AZ","23","26","349","72","4.8","228","22-33","6.9","121","39","3.1","23","14","6","3","6","53","1","0","1","454","76","6.0","231","17-32","7.2","223","44","5.1","22","8","11","3","8","73","0","0","0"
"WAST1","WAST","NV","13","24","427","75","5.7","389","38-57","6.8","38","18","2.1","25","20","2","3","10","72","2","0","2","324","77","4.2","110","12-21","5.2","214","56","3.8","17","4","10","3","9","90","0","0","0"
"NV1","NV","WAST","24","13","324","77","4.2","110","12-21","5.2","214","56","3.8","17","4","10","3","9","90","0","0","0","427","75","5.7","389","38-57","6.8","38","18","2.1","25","20","2","3","10","72","2","0","2"
"PITT1","PITT","BC","30","20","413","70","5.9","111","10-20","5.6","302","50","6.0","22","3","18","1","6","54","1","0","1","276","62","4.5","134","10-28","4.8","142","34","4.2","15","5","9","1","3","25","2","0","2"
"BC1","BC","PITT","20","30","276","62","4.5","134","10-28","4.8","142","34","4.2","15","5","9","1","3","25","2","0","2","413","70","5.9","111","10-20","5.6","302","50","6.0","22","3","18","1","6","54","1","0","1"
"FLATL1","FLATL","AL","0","41","145","43","3.4","88","12-19","4.6","57","24","2.4","9","4","3","2","3","23","1","1","0","620","70","8.9","416","26-37","11.2","204","33","6.2","27","16","11","0","6","60","1","1","0"
"AL1","AL","FLATL","41","0","620","70","8.9","416","26-37","11.2","204","33","6.2","27","16","11","0","6","60","1","1","0","145","43","3.4","88","12-19","4.6","57","24","2.4","9","4","3","2","3","23","1","1","0"
"AZST1","AZST","NM","58","21","621","69","9.0","198","12-21","9.4","423","48","8.8","25","7","18","0","4","30","1","1","0","337","68","5.0","130","7-11","11.8","207","57","3.6","19","6","11","2","8","73","3","3","0"
"NM1","NM","AZST","21","58","337","68","5.0","130","7-11","11.8","207","57","3.6","19","6","11","2","8","73","3","3","0","621","69","9.0","198","12-21","9.4","423","48","8.8","25","7","18","0","4","30","1","1","0"
"NICHST1","NICHST","AR","7","73","242","71","3.4","208","21-43","4.8","34","28","1.2","17","11","4","2","5","35","1","0","1","684","54","12.7","189","8-14","13.5","495","40","12.4","26","7","19","0","7","69","1","0","1"
"AR1","AR","NICHST","73","7","684","54","12.7","189","8-14","13.5","495","40","12.4","26","7","19","0","7","69","1","0","1","242","71","3.4","208","21-43","4.8","34","28","1.2","17","11","4","2","5","35","1","0","1"
"BUF1","BUF","ARMY","39","47","549","79","6.9","396","34-50","7.9","153","29","5.3","33","21","8","4","7","59","3","0","3","466","61","7.6","125","7-7","17.9","341","54","6.3","17","4","13","0","12","105","2","2","0"
"ARMY","ARMY","BUF","47","39","466","61","7.6","125","7-7","17.9","341","54","6.3","17","4","13","0","12","105","2","2","0","549","79","6.9","396","34-50","7.9","153","29","5.3","33","21","8","4","7","59","3","0","3"
"SJST1","SJST","AUB","13","59","319","77","4.1","254","19-32","7.9","65","45","1.4","20","10","8","2","7","66","3","0","3","493","73","6.8","135","13-23","5.9","358","50","7.2","26","6","18","2","5","45","2","2","0"
"AUB1","AUB","SJST","59","13","493","73","6.8","135","13-23","5.9","358","50","7.2","26","6","18","2","5","45","2","2","0","319","77","4.1","254","19-32","7.9","65","45","1.4","20","10","8","2","7","66","3","0","3"
"NWST","NWST","BAY","6","70","202","60","3.4","124","8-19","6.5","78","41","1.9","11","6","4","1","5","35","1","0","1","720","78","9.2","455","19-28","16.3","265","50","5.3","32","12","19","1","10","91","2","2","0"
"BAY1","BAY","NWST","70","6","720","78","9.2","455","19-28","16.3","265","50","5.3","32","12","19","1","10","91","2","2","0","202","60","3.4","124","8-19","6.5","78","41","1.9","11","6","4","1","5","35","1","0","1"
"COST1","COST","BOISE","24","37","462","81","5.7","434","31-58","7.5","28","23","1.2","23","20","2","1","2","20","3","1","2","676","89","7.6","352","22-33","10.7","324","56","5.8","35","15","19","1","10","101","1","0","1"
"BOISE1","BOISE","COST","37","24","676","89","7.6","352","22-33","10.7","324","56","5.8","35","15","19","1","10","101","1","0","1","462","81","5.7","434","31-58","7.5","28","23","1.2","23","20","2","1","2","20","3","1","2"
"VAMI","VAMI","BGSU","7","48","418","90","4.6","321","30-55","5.8","97","35","2.8","24","16","6","2","4","35","3","2","1","526","71","7.4","266","25-34","7.8","260","37","7.0","26","11","15","0","7","87","2","1","1"
"BGSU1","BGSU","VAMI","48","7","526","71","7.4","266","25-34","7.8","260","37","7.0","26","11","15","0","7","87","2","1","1","418","90","4.6","321","30-55","5.8","97","35","2.8","24","16","6","2","4","35","3","2","1"
"BYU1","BYU","TX","41","7","429","86","5.0","181","18-27","6.7","248","59","4.2","28","12","15","1","6","40","2","1","1","258","66","3.9","176","20-31","5.7","82","35","2.3","15","9","6","0","6","64","4","3","1"
"TX1","TX","BYU","7","41","258","66","3.9","176","20-31","5.7","82","35","2.3","15","9","6","0","6","64","4","3","1","429","86","5.0","181","18-27","6.7","248","59","4.2","28","12","15","1","6","40","2","1","1"
"SACST","SACST","CA","14","55","302","66","4.6","184","20-41","4.5","118","25","4.7","19","13","3","3","9","88","2","1","1","579","76","7.6","326","21-29","11.2","253","47","5.4","26","14","10","2","10","100","1","1","0"
"CA1","CA","SACST","55","14","579","76","7.6","326","21-29","11.2","253","47","5.4","26","14","10","2","10","100","1","1","0","302","66","4.6","184","20-41","4.5","118","25","4.7","19","13","3","3","9","88","2","1","1"
"CMI1","CMI","PUR","38","17","333","59","5.6","172","11-16","10.8","161","43","3.7","19","5","12","2","1","5","1","0","1","326","83","3.9","204","24-49","4.2","122","34","3.6","19","9","10","0","7","69","3","1","2"
"PUR1","PUR","CMI","17","38","326","83","3.9","204","24-49","4.2","122","34","3.6","19","9","10","0","7","69","3","1","2","333","59","5.6","172","11-16","10.8","161","43","3.7","19","5","12","2","1","5","1","0","1"
"SCST","SCST","CLEM","7","73","44","53","0.8","37","12-25","1.5","7","28","0.3","5","2","3","0","5","30","1","0","1","735","93","7.9","467","32-42","11.1","268","51","5.3","32","17","15","0","1","5","1","1","0"
"CLEM1","CLEM","SCST","73","7","735","93","7.9","467","32-42","11.1","268","51","5.3","32","17","15","0","1","5","1","1","0","44","53","0.8","37","12-25","1.5","7","28","0.3","5","2","3","0","5","30","1","0","1"
"CO1","CO","MA","41","38","474","89","5.3","318","26-42","7.6","156","47","3.3","29","15","9","5","12","124","1","0","1","371","68","5.5","267","20-38","7.0","104","30","3.5","23","11","7","5","7","85","1","0","1"
"MA1","MA","CO","38","41","371","68","5.5","267","20-38","7.0","104","30","3.5","23","11","7","5","7","85","1","0","1","474","89","5.3","318","26-42","7.6","156","47","3.3","29","15","9","5","12","124","1","0","1"
"STONY","STONY","CT","16","19","300","66","4.5","196","12-29","6.8","104","37","2.8","9","7","2","0","12","108","0","0","0","223","64","3.5","142","12-27","5.3","81","37","2.2","15","7","5","3","3","25","2","2","0"
"CT1","CT","STONY","19","16","223","64","3.5","142","12-27","5.3","81","37","2.2","15","7","5","3","3","25","2","2","0","300","66","4.5","196","12-29","6.8","104","37","2.8","9","7","2","0","12","108","0","0","0"
"DUKE1","DUKE","TROY","34","17","452","83","5.4","270","28-42","6.4","182","41","4.4","25","15","10","0","6","43","0","0","0","396","77","5.1","238","22-34","7.0","158","43","3.7","20","11","8","1","7","55","0","0","0"
"TROY1","TROY","DUKE","17","34","396","77","5.1","238","22-34","7.0","158","43","3.7","20","11","8","1","7","55","0","0","0","452","83","5.4","270","28-42","6.4","182","41","4.4","25","15","10","0","6","43","0","0","0"
"EKY","EKY","MIAOH","16","10","280","60","4.7","198","14-28","7.1","82","32","2.6","12","7","4","1","8","94","2","1","1","419","90","4.7","359","25-52","6.9","60","38","1.6","25","14","7","4","9","61","6","3","3"
"MIAOH1","MIAOH","EKY","10","16","419","90","4.7","359","25-52","6.9","60","38","1.6","25","14","7","4","9","61","6","3","3","280","60","4.7","198","14-28","7.1","82","32","2.6","12","7","4","1","8","94","2","1","1"
"EMI1","EMI","FL","0","65","125","55","2.3","45","9-21","2.1","80","34","2.4","7","2","3","2","4","40","5","4","1","655","86","7.6","396","33-47","8.4","259","39","6.6","27","12","13","2","10","100","0","0","0"
"FL","FL","EMI","65","0","655","86","7.6","396","33-47","8.4","259","39","6.6","27","12","13","2","10","100","0","0","0","125","55","2.3","45","9-21","2.1","80","34","2.4","7","2","3","2","4","40","5","4","1"
"WAGNER","WAGNER","FLINT","3","34","212","59","3.6","120","11-23","5.2","92","36","2.6","9","4","3","2","8","80","6","4","2","377","67","5.6","229","23-33","6.9","148","34","4.4","19","9","7","3","9","70","3","3","0"
