"","Team","Opponent","ScoreOff","ScoreDef","TotYardsOff","TotPlaysOff","YdsPlayOff","PassingOff","CmpAttOff","YdsPassOff","RushingOff","RushesOff","YdsRushOff","FirstDownOff","PassOff","RushOff","PenaltyOff","PenaltiesOff","YdsOff","TurnoversOff","FumLostOff","IntThrownOff","TotYardsDef","TotPlaysDef","YdsPlayDef","PassingDef","CmpAttDef","YdsPassDef","RushingDef","RushesDef","YdsRushDef","FirstDownDef","PassDef","RushDef","PenaltyDef","PenaltiesDef","YdsDef","TurnoversDef","FumLostDef","IntThrownDef"
"GAS5","GAS","GAST","69","31","660","69","9.6","47","5-6","7.8","613","63","9.7","30","2","28","0","5","39","0","0","0","455","61","7.5","408","24-38","10.7","47","23","2.0","21","15","4","2","6","40","3","2","1"
"GAST7","GAST","GAS","31","69","455","61","7.5","408","24-38","10.7","47","23","2.0","21","15","4","2","6","40","3","2","1","660","69","9.6","47","5-6","7.8","613","63","9.7","30","2","28","0","5","39","0","0","0"
"GATECH7","GATECH","PITT","56","28","612","76","8.1","147","5-12","12.3","465","64","7.3","27","4","23","0","3","15","1","1","0","526","66","8.0","328","23-35","9.4","198","31","6.4","19","14","5","0","2","15","6","6","0"
"PITT7","PITT","GATECH","28","56","526","66","8.0","328","23-35","9.4","198","31","6.4","19","14","5","0","2","15","6","6","0","612","76","8.1","147","5-12","12.3","465","64","7.3","27","4","23","0","3","15","1","1","0"
"MN7","MN","IL","24","28","411","71","5.8","240","12-30","8.0","171","41","4.2","19","8","9","2","4","30","3","2","1","263","64","4.1","140","15-23","6.1","123","41","3.0","16","7","8","1","4","36","1","1","0"
"IL7","IL","MN","28","24","263","64","4.1","140","15-23","6.1","123","41","3.0","16","7","8","1","4","36","1","1","0","411","71","5.8","240","12-30","8.0","171","41","4.2","19","8","9","2","4","30","3","2","1"
"TX7","TX","KSST","0","23","196","52","3.8","106","13-25","4.2","90","27","3.3","12","6","6","0","7","66","1","1","0","367","73","5.0","224","19-30","7.5","143","43","3.3","22","9","10","3","3","25","0","0","0"
"KSST6","KSST","TX","23","0","367","73","5.0","224","19-30","7.5","143","43","3.3","22","9","10","3","3","25","0","0","0","196","52","3.8","106","13-25","4.2","90","27","3.3","12","6","6","0","7","66","1","1","0"
"MS7","MS","LAST","7","10","313","68","4.6","176","14-34","5.2","137","34","4.0","15","7","7","1","8","52","1","0","1","406","71","5.7","142","8-16","8.9","264","55","4.8","22","6","15","1","5","45","4","2","2"
"LAST8","LAST","MS","10","7","406","71","5.7","142","8-16","8.9","264","55","4.8","22","6","15","1","5","45","4","2","2","313","68","4.6","176","14-34","5.2","137","34","4.0","15","7","7","1","8","52","1","0","1"
"LATECH7","LATECH","SMS","31","20","453","72","6.3","423","27-46","9.2","30","26","1.2","23","17","3","3","4","40","2","2","0","348","75","4.6","379","32-49","7.7","-31","26","-1.2","22","19","2","1","9","83","2","0","2"
"SMS7","SMS","LATECH","20","31","348","75","4.6","379","32-49","7.7","-31","26","-1.2","22","19","2","1","9","83","2","0","2","453","72","6.3","423","27-46","9.2","30","26","1.2","23","17","3","3","4","40","2","2","0"
"FLATL7","FLATL","MARSH","16","35","388","90","4.3","179","19-37","4.8","209","53","3.9","26","10","15","1","3","45","0","0","0","546","59","9.3","218","13-24","9.1","328","35","9.4","20","9","9","2","6","60","0","0","0"
"MARSH7","MARSH","FLATL","35","16","546","59","9.3","218","13-24","9.1","328","35","9.4","20","9","9","2","6","60","0","0","0","388","90","4.3","179","19-37","4.8","209","53","3.9","26","10","15","1","3","45","0","0","0"
"MEM6","MEM","SMETH","48","10","582","80","7.3","352","20-27","13.0","230","53","4.3","29","17","10","2","8","69","1","1","0","251","64","3.9","114","13-33","3.5","137","31","4.4","15","5","7","3","7","60","2","0","2"
"SMETH6","SMETH","MEM","10","48","251","64","3.9","114","13-33","3.5","137","31","4.4","15","5","7","3","7","60","2","0","2","582","80","7.3","352","20-27","13.0","230","53","4.3","29","17","10","2","8","69","1","1","0"
"KENT7","KENT","MIAOH","3","10","285","67","4.3","206","22-40","5.2","79","27","2.9","18","12","5","1","3","17","1","0","1","287","61","4.7","120","11-28","4.3","167","33","5.1","15","5","8","2","8","62","0","0","0"
"MIAOH8","MIAOH","KENT","10","3","287","61","4.7","120","11-28","4.3","167","33","5.1","15","5","8","2","8","62","0","0","0","285","67","4.3","206","22-40","5.2","79","27","2.9","18","12","5","1","3","17","1","0","1"
"MI7","MI","MIST","11","35","186","57","3.3","121","13-29","4.2","65","28","2.3","13","7","3","3","4","27","3","1","2","446","68","6.6","227","12-22","10.3","219","46","4.8","22","7","14","1","8","88","2","2","0"
"MIST7","MIST","MI","35","11","446","68","6.6","227","12-22","10.3","219","46","4.8","22","7","14","1","8","88","2","2","0","186","57","3.3","121","13-29","4.2","65","28","2.3","13","7","3","3","4","27","3","1","2"
"MSST6","MSST","KY","45","31","542","84","6.5","216","18-33","6.5","326","51","6.4","30","11","18","1","2","20","1","0","1","504","76","6.6","401","25-44","9.1","103","32","3.2","23","16","7","0","3","25","1","1","0"
"KY7","KY","MSST","31","45","504","76","6.6","401","25-44","9.1","103","32","3.2","23","16","7","0","3","25","1","1","0","542","84","6.5","216","18-33","6.5","326","51","6.4","30","11","18","1","2","20","1","0","1"
"VAND7","VAND","MO","14","24","240","58","4.1","196","17-31","6.3","44","27","1.6","18","10","3","5","5","41","1","0","1","385","69","5.6","141","11-23","6.1","244","46","5.3","20","7","12","1","14","100","0","0","0"
"MO7","MO","VAND","24","14","385","69","5.6","141","11-23","6.1","244","46","5.3","20","7","12","1","14","100","0","0","0","240","58","4.1","196","17-31","6.3","44","27","1.6","18","10","3","5","5","41","1","0","1"
"SJST6","SJST","NAVY","31","41","422","71","5.9","322","33-46","7.0","100","25","4.0","26","20","6","0","2","20","1","0","1","479","76","6.3","56","4-8","7.0","423","68","6.2","28","2","25","1","0","0","1","1","0"
