"","Win","Date","Team","Opponent","ScoreOff","ScoreDef","Home","Week"
"737",1,2016-09-24,"Auburn (AL)","Louisiana St.",18,13,1,4
"738",1,2016-09-24,"Kentucky","South Carolina",17,10,1,4
"739",0,2016-09-24,"Louisiana St.","Auburn (AL)",13,18,0,4
"740",1,2016-09-24,"Mississippi","Georgia",45,14,1,4
"741",0,2016-09-24,"South Carolina","Kentucky",10,17,0,4
"742",1,2016-09-24,"Missouri","Delaware St.",79,0,1,4
"743",1,2016-09-24,"Tennessee","Florida",38,28,1,4
"744",1,2016-09-24,"Texas A&M","Arkansas",45,24,1,4
"745",1,2016-09-24,"Vanderbilt (TN)","Western Kentucky",31,30,0,4
"746",1,2016-09-24,"Stanford (CA)","UCLA",22,13,0,4
"747",0,2016-09-24,"Arkansas St.","Central Arkansas",23,28,1,4
"748",0,2016-09-24,"Georgia Southern","Western Michigan",31,49,0,4
"749",1,2016-09-24,"Idaho","Nevada-Las Vegas",33,30,0,4
"750",0,2016-09-24,"Louisiana-Lafayette","Tulane (LA)",39,41,0,4
"751",0,2016-09-24,"Texas St.","Houston (TX)",3,64,1,4
"752",1,2016-09-24,"South Alabama","Nicholls St. (LA)",41,40,1,4
"753",1,2016-09-24,"Mississippi St.","Massachusetts",47,35,0,4
"754",1,2016-09-24,"Troy (AL)","New Mexico St.",52,6,1,4
"755",1,2016-09-24,"Cal Poly-San Luis Obispo","Montana",42,41,1,4
"756",1,2016-09-24,"Eastern Washington","Northern Arizona",50,35,0,4
"757",1,2016-09-24,"Idaho St.","Cal St.-Sacramento",42,34,1,4
"758",1,2016-09-24,"Appalachian State (NC)","Akron (OH)",45,38,0,4
"759",0,2016-09-24,"Montana","Cal Poly-San Luis Obispo",41,42,0,4
"760",0,2016-09-24,"Montana St.","North Dakota",15,17,1,4
"761",1,2016-09-24,"North Dakota","Montana St.",17,15,0,4
"762",0,2016-09-24,"Portland St. (OR)","Southern Utah",31,45,0,4
"763",0,2016-09-24,"Cal St.-Sacramento","Idaho St.",34,42,0,4
"764",1,2016-09-24,"Southern Utah","Portland St. (OR)",45,31,1,4
"765",0,2016-09-24,"California-Davis","Weber St. (UT)",35,38,1,4
"766",1,2016-09-24,"Charleston Southern (SC)","Monmouth (NJ)",35,7,0,4
"767",0,2016-09-24,"Liberty (VA)","Jacksonville St. (AL)",19,48,1,4
"768",1,2016-09-24,"Kennesaw St. (GA)","Duquesne (PA)",36,28,0,4
"769",0,2016-09-24,"New Mexico St.","Troy (AL)",6,52,0,4
"770",1,2016-09-24,"SUNY-Albany (NY)","Saint Francis (PA)",20,9,1,4
"771",0,2016-09-24,"Monmouth (NJ)","Charleston Southern (SC)",7,35,1,4
"772",0,2016-09-24,"Northern Arizona","Eastern Washington",35,50,1,4
"773",1,2016-09-24,"Elon (NC)","William & Mary (VA)",27,10,0,4
"774",1,2016-09-24,"James Madison (VA)","Maine",31,20,0,4
"775",1,2016-09-24,"Weber St. (UT)","California-Davis",38,35,0,4
"776",0,2016-09-24,"Gardner-Webb (NC)","Ohio",21,37,0,4
"777",0,2016-09-24,"Rhode Island","New Hampshire",17,39,1,4
"778",1,2016-09-24,"New Hampshire","Rhode Island",39,17,0,4
"779",1,2016-09-24,"Richmond (VA)","Colgate (NY)",38,31,1,4
"780",0,2016-09-24,"SUNY-Stony Brook (NY)","Sacred Heart (CT)",10,38,1,4
"781",1,2016-09-24,"Villanova (PA)","Lafayette (PA)",31,14,0,4
"782",0,2016-09-24,"William & Mary (VA)","Elon (NC)",10,27,1,4
"783",1,2016-09-24,"Coastal Carolina (SC)","Furman (SC)",41,21,1,4
"784",0,2016-09-24,"Brown (RI)","Harvard (MA)",22,32,1,4
"785",0,2016-09-24,"Columbia (NY)","Georgetown (DC)",14,17,0,4
"786",1,2016-09-24,"Harvard (MA)","Brown (RI)",32,22,0,4
"787",0,2016-09-24,"Pennsylvania","Fordham (NY)",17,31,0,4
"788",0,2016-09-24,"Princeton (NJ)","Lehigh (PA)",28,42,0,4
"789",1,2016-09-24,"Dartmouth (NH)","Holy Cross (MA)",35,10,0,4
"790",0,2016-09-24,"Maine","James Madison (VA)",20,31,1,4
"791",0,2016-09-24,"Bethune-Cookman (FL)","Savannah St. (GA)",10,16,0,4
"792",0,2016-09-24,"Florida A&M","South Carolina St.",14,48,1,4
"793",0,2016-09-24,"Delaware St.","Missouri",0,79,0,4
"794",0,2016-09-24,"Howard (DC)","Morgan St. (MD)",24,28,1,4
"795",0,2016-09-24,"Norfolk St. (VA)","North Carolina Central",31,34,1,4
"796",1,2016-09-24,"Morgan St. (MD)","Howard (DC)",28,24,1,4
"797",1,2016-09-24,"Cornell (NY)","Yale (CT)",27,13,1,4
"798",1,2016-09-24,"South Carolina St.","Florida A&M",48,14,0,4
"799",0,2016-09-24,"Yale (CT)","Cornell (NY)",13,27,0,4
"800",0,2016-09-24,"Illinois St.","Indiana St.",31,34,0,4
"801",1,2016-09-24,"Savannah St. (GA)","Bethune-Cookman (FL)",16,10,1,4
"802",0,2016-09-24,"Missouri St.","Kansas St.",0,35,0,4
"803",1,2016-09-24,"North Carolina Central","Norfolk St. (VA)",34,31,0,4
"804",1,2016-09-24,"Western Illinois","Northern Illinois",28,23,0,4
"805",0,2016-09-24,"Central Connecticut St.","Bryant (RI)",25,45,0,4
"806",0,2016-09-24,"Duquesne (PA)","Kennesaw St. (GA)",28,36,1,4
"807",1,2016-09-24,"Indiana St.","Illinois St.",34,31,1,4
"808",1,2016-09-24,"Sacred Heart (CT)","SUNY-Stony Brook (NY)",38,10,0,4
"809",0,2016-09-24,"Wagner (NY)","Boston College (MA)",10,42,0,4
"810",0,2016-09-24,"Saint Francis (PA)","SUNY-Albany (NY)",9,20,0,4
"811",0,2016-09-24,"Austin Peay St. (TN)","Eastern Illinois",35,56,0,4
"812",1,2016-09-24,"Eastern Illinois","Austin Peay St. (TN)",56,35,1,4
"813",0,2016-09-24,"Murray St. (KY)","Southeast Missouri St.",16,17,1,4
"814",1,2016-09-24,"Southeast Missouri St.","Murray St. (KY)",17,16,0,4
"815",1,2016-09-24,"Jacksonville St. (AL)","Liberty (VA)",48,19,0,4
"816",1,2016-09-24,"Bryant (RI)","Central Connecticut St.",45,25,1,4
"817",1,2016-09-24,"Tennessee-Martin","Tennessee Tech",44,23,1,4
"818",0,2016-09-24,"Tennessee Tech","Tennessee-Martin",23,44,0,4
"819",0,2016-09-24,"Colgate (NY)","Richmond (VA)",31,38,0,4
"820",1,2016-09-24,"Georgetown (DC)","Columbia (NY)",17,14,1,4
"821",0,2016-09-24,"Holy Cross (MA)","Dartmouth (NH)",10,35,1,4
"822",0,2016-09-24,"Lafayette (PA)","Villanova (PA)",14,31,1,4
"823",1,2016-09-24,"Lehigh (PA)","Princeton (NJ)",42,28,1,4
"824",0,2016-09-24,"Davidson (NC)","Valparaiso (IN)",20,24,0,4
"825",0,2016-09-24,"Butler (IN)","Campbell (NC)",27,33,0,4
"826",1,2016-09-24,"Campbell (NC)","Butler (IN)",33,27,1,4
"827",0,2016-09-24,"Dayton (OH)","San Diego (CA)",22,34,0,4
"828",1,2016-09-24,"Drake (IA)","Morehead St. (KY)",30,28,1,4
"829",1,2016-09-24,"Jacksonville (FL)","Stetson (FL)",24,7,0,4
"830",1,2016-09-24,"Fordham (NY)","Pennsylvania",31,17,1,4
"831",0,2016-09-24,"Bucknell (PA)","Virginia Military Institute",17,23,1,4
"832",0,2016-09-24,"Morehead St. (KY)","Drake (IA)",28,30,0,4
"833",1,2016-09-24,"San Diego (CA)","Dayton (OH)",34,22,1,4
"834",1,2016-09-24,"Tennessee-Chattanooga","Samford (AL)",41,21,1,4
"835",0,2016-09-24,"Stetson (FL)","Jacksonville (FL)",7,24,1,4
"836",1,2016-09-24,"Valparaiso (IN)","Davidson (NC)",24,20,1,4
"837",0,2016-09-24,"East Tennessee St.","Wofford (SC)",0,31,0,4
"838",0,2016-09-24,"Samford (AL)","Tennessee-Chattanooga",21,41,0,4
"839",1,2016-09-24,"Wofford (SC)","East Tennessee St.",31,0,1,4
"840",1,2016-09-24,"Central Arkansas","Arkansas St.",28,23,0,4
"841",0,2016-09-24,"Abilene Christian (TX)","Stephen F. Austin (TX)",30,41,0,4
"842",0,2016-09-24,"Incarnate Word (TX)","McNeese St. (LA)",35,42,1,4
"843",0,2016-09-24,"Houston Baptist (TX)","Sam Houston St. (TX)",16,52,1,4
"844",1,2016-09-24,"McNeese St. (LA)","Incarnate Word (TX)",42,35,0,4
"845",0,2016-09-24,"Nicholls St. (LA)","South Alabama",40,41,0,4
"846",1,2016-09-24,"Sam Houston St. (TX)","Houston Baptist (TX)",52,16,0,4
"847",0,2016-09-24,"Northwestern St. (LA)","Southeastern Louisiana",24,34,0,4
"848",0,2016-09-24,"Alabama A&M","Southern (LA)",31,59,1,4
"849",1,2016-09-24,"Stephen F. Austin (TX)","Abilene Christian (TX)",41,30,1,4
"850",1,2016-09-24,"Southeastern Louisiana","Northwestern St. (LA)",34,24,1,4
"851",1,2016-09-24,"Virginia Military Institute","Bucknell (PA)",23,17,0,4
"852",0,2016-09-24,"Alabama St.","Texas Southern",27,31,1,4
"853",1,2016-09-24,"Grambling St. (LA)","Alcorn St. (MS)",43,18,1,4
"854",1,2016-09-24,"Southern (LA)","Alabama A&M",59,31,0,4
"855",1,2016-09-24,"Prairie View A&M (TX)","Mississippi Valley St.",56,21,0,4
"856",1,2016-09-24,"Texas Southern","Alabama St.",31,27,0,4
"857",0,2016-09-24,"Arkansas-Pine Bluff","Jackson St. (MS)",20,32,1,4
"858",1,2016-09-24,"Jackson St. (MS)","Arkansas-Pine Bluff",32,20,1,4
"859",0,2016-09-24,"Mississippi Valley St.","Prairie View A&M (TX)",21,56,1,4
"860",1,2016-09-29,"Houston (TX)","Connecticut",42,14,1,5
"861",0,2016-09-29,"Connecticut","Houston (TX)",14,42,0,5
"862",0,2016-09-29,"Kansas","Texas Tech",19,55,0,5
"863",1,2016-09-29,"Texas Tech","Kansas",55,19,1,5
"864",0,2016-09-29,"Hampton (VA)","North Carolina A&T",9,31,0,5
"865",1,2016-09-29,"North Carolina A&T","Hampton (VA)",31,9,1,5
"866",1,2016-09-30,"Brigham Young (UT)","Toledo (OH)",55,53,1,5
"867",0,2016-09-30,"Toledo (OH)","Brigham Young (UT)",53,55,0,5
"868",1,2016-09-30,"Washington","Stanford (CA)",44,6,1,5
"869",0,2016-09-30,"Stanford (CA)","Washington",6,44,0,5
"870",1,2016-09-30,"Harvard (MA)","Georgetown (DC)",31,17,1,5
"871",1,2016-09-30,"Pennsylvania","Dartmouth (NH)",37,24,0,5
"872",0,2016-09-30,"Dartmouth (NH)","Pennsylvania",24,37,1,5
"873",0,2016-09-30,"Georgetown (DC)","Harvard (MA)",17,31,0,5
"874",0,2016-10-01,"East Carolina (NC)","Central Florida",29,47,1,5
"875",0,2016-10-01,"Cincinnati (OH)","South Florida",20,45,1,5
"876",0,2016-10-01,"Memphis (TN)","Mississippi",28,48,0,5
"877",0,2016-10-01,"Navy (MD)","Air Force (CO)",14,28,0,5
"878",0,2016-10-01,"Southern Methodist (TX)","Temple (PA)",20,45,0,5
"879",1,2016-10-01,"South Florida","Cincinnati (OH)",45,20,0,5
"880",1,2016-10-01,"Tulane (LA)","Massachusetts",31,24,0,5
"881",1,2016-10-01,"Temple (PA)","Southern Methodist (TX)",45,20,1,5
"882",1,2016-10-01,"Central Florida","East Carolina (NC)",47,29,0,5
"883",0,2016-10-01,"Duke (NC)","Virginia",20,34,1,5
"884",1,2016-10-01,"Boston College (MA)","Buffalo (NY)",35,3,1,5
"885",1,2016-10-01,"Clemson (SC)","Louisville (KY)",42,36,1,5
"886",0,2016-10-01,"Georgia Tech","Miami (FL)",21,35,1,5
"887",0,2016-10-01,"Florida St.","North Carolina",35,37,1,5
"888",1,2016-10-01,"Miami (FL)","Georgia Tech",35,21,0,5
"889",0,2016-10-01,"Louisville (KY)","Clemson (SC)",36,42,0,5
"890",1,2016-10-01,"North Carolina St.","Wake Forest (NC)",33,16,1,5
"891",1,2016-10-01,"Virginia","Duke (NC)",34,20,0,5
"892",1,2016-10-01,"North Carolina","Florida St.",37,35,0,5
"893",0,2016-10-01,"Wake Forest (NC)","North Carolina St.",16,33,0,5
"894",1,2016-10-01,"Baylor (TX)","Iowa St.",45,42,0,5
"895",0,2016-10-01,"Kansas St.","West Virginia",16,17,0,5
"896",1,2016-10-01,"Oklahoma","Texas Christian",52,46,0,5
"897",1,2016-10-01,"Oklahoma St.","Texas",49,31,1,5
"898",0,2016-10-01,"Texas Christian","Oklahoma",46,52,1,5
"899",1,2016-10-01,"West Virginia","Kansas St.",17,16,1,5
"900",1,2016-10-01,"Pittsburgh (PA)","Marshall (WV)",43,27,1,5
"901",0,2016-10-01,"Syracuse (NY)","Notre Dame (IN)",33,50,1,5
"902",0,2016-10-01,"Texas","Oklahoma St.",31,49,0,5
"903",0,2016-10-01,"Iowa","Northwestern (IL)",31,38,1,5
"904",1,2016-10-01,"Indiana","Michigan St.",24,21,1,5
"905",0,2016-10-01,"Iowa St.","Baylor (TX)",42,45,1,5
"906",1,2016-10-01,"Michigan","Wisconsin",14,7,1,5
"907",1,2016-10-01,"Maryland","Purdue (IN)",50,7,1,5
"908",0,2016-10-01,"Michigan St.","Indiana",21,24,0,5
"909",0,2016-10-01,"Minnesota","Penn St.",26,29,0,5
"910",1,2016-10-01,"Nebraska","Illinois",31,16,1,5
"911",1,2016-10-01,"Ohio St.","Rutgers (NJ)",58,0,1,5
"912",0,2016-10-01,"Wisconsin","Michigan",7,14,0,5
"913",1,2016-10-01,"Penn St.","Minnesota",29,26,1,5
"914",0,2016-10-01,"Rutgers (NJ)","Ohio St.",0,58,0,5
"915",0,2016-10-01,"Purdue (IN)","Maryland",7,50,0,5
"916",0,2016-10-01,"Florida Atlantic","Florida International",31,33,0,5
"917",0,2016-10-01,"North Carolina-Charlotte","Old Dominion (VA)",17,52,1,5
"918",1,2016-10-01,"Louisiana Tech","Texas-El Paso",28,7,1,5
"919",0,2016-10-01,"Marshall (WV)","Pittsburgh (PA)",27,43,0,5
"920",1,2016-10-01,"Middle Tennessee St.","North Texas",30,13,0,5
"921",0,2016-10-01,"North Texas","Middle Tennessee St.",13,30,1,5
"922",0,2016-10-01,"Illinois","Nebraska",16,31,0,5
"923",1,2016-10-01,"Old Dominion (VA)","North Carolina-Charlotte",52,17,0,5
"924",0,2016-10-01,"Rice (TX)","Southern Mississippi",28,44,0,5
"925",1,2016-10-01,"Southern Mississippi","Rice (TX)",44,28,1,5
"926",1,2016-10-01,"Western Kentucky","Houston Baptist (TX)",50,3,1,5
"927",1,2016-10-01,"Northwestern (IL)","Iowa",38,31,0,5
"928",1,2016-10-01,"Notre Dame (IN)","Syracuse (NY)",50,33,1,5
"929",1,2016-10-01,"Akron (OH)","Kent St. (OH)",31,27,0,5
"930",0,2016-10-01,"Massachusetts","Tulane (LA)",24,31,1,5
"931",1,2016-10-01,"Florida International","Florida Atlantic",33,31,1,5
"932",0,2016-10-01,"Bowling Green (OH)","Eastern Michigan",25,28,1,5
"933",0,2016-10-01,"Ball St. (IN)","Northern Illinois",24,31,1,5
"934",0,2016-10-01,"Buffalo (NY)","Boston College (MA)",3,35,0,5
"935",0,2016-10-01,"Kent St. (OH)","Akron (OH)",27,31,1,5
"936",1,2016-10-01,"Eastern Michigan","Bowling Green (OH)",28,25,0,5
"937",0,2016-10-01,"Miami (OH)","Ohio",7,17,1,5
"938",1,2016-10-01,"Ohio","Miami (OH)",17,7,0,5
"939",1,2016-10-01,"Western Michigan","Central Michigan",49,10,0,5
"940",0,2016-10-01,"Texas-El Paso","Louisiana Tech",7,28,0,5
"941",1,2016-10-01,"Air Force (CO)","Navy (MD)",28,14,1,5
"942",1,2016-10-01,"Boise St. (ID)","Utah St.",21,10,1,5
"943",0,2016-10-01,"Colorado St.","Wyoming",17,38,1,5
"944",0,2016-10-01,"Fresno St. (CA)","Nevada-Las Vegas",20,45,0,5
"945",1,2016-10-01,"Hawaii","Nevada",38,17,1,5
"946",0,2016-10-01,"Nevada","Hawaii",17,38,0,5
"947",0,2016-10-01,"San Diego St. (CA)","South Alabama",24,42,0,5
"948",0,2016-10-01,"Central Michigan","Western Michigan",10,49,1,5
"949",1,2016-10-01,"Northern Illinois","Ball St. (IN)",31,24,0,5
"950",0,2016-10-01,"San Jose St. (CA)","New Mexico",41,48,0,5
"951",1,2016-10-01,"Nevada-Las Vegas","Fresno St. (CA)",45,20,1,5
"952",0,2016-10-01,"Utah St.","Boise St. (ID)",10,21,0,5
"953",1,2016-10-01,"Wyoming","Colorado St.",38,17,0,5
"954",0,2016-10-01,"Arizona St.","Southern California",20,41,0,5
"955",1,2016-10-01,"California","Utah",28,23,1,5
"956",0,2016-10-01,"Arizona","UCLA",24,45,0,5
"957",0,2016-10-01,"Oregon","Washington St.",33,51,0,5
"958",1,2016-10-01,"Colorado","Oregon St.",47,6,1,5
"959",1,2016-10-01,"UCLA","Arizona",45,24,1,5
"960",1,2016-10-01,"Southern California","Arizona St.",41,20,1,5
"961",0,2016-10-01,"Oregon St.","Colorado",6,47,0,5
"962",0,2016-10-01,"Utah","California",23,28,0,5
"963",1,2016-10-01,"Washington St.","Oregon",51,33,1,5
"964",1,2016-10-01,"Alabama","Kentucky",34,6,1,5
"965",1,2016-10-01,"Arkansas","Alcorn St. (MS)",52,10,1,5
"966",0,2016-10-01,"Georgia","Tennessee",31,34,1,5
"967",1,2016-10-01,"Florida","Vanderbilt (TN)",13,6,0,5
"968",1,2016-10-01,"Auburn (AL)","Louisiana-Monroe",58,7,1,5
"969",0,2016-10-01,"Kentucky","Alabama",6,34,0,5
"970",1,2016-10-01,"Louisiana St.","Missouri",42,7,1,5
"971",1,2016-10-01,"Mississippi","Memphis (TN)",48,28,1,5
"972",0,2016-10-01,"South Carolina","Texas A&M",13,24,1,5
"973",0,2016-10-01,"Missouri","Louisiana St.",7,42,0,5
"974",1,2016-10-01,"Tennessee","Georgia",34,31,0,5
"975",1,2016-10-01,"Texas A&M","South Carolina",24,13,0,5
"976",0,2016-10-01,"Vanderbilt (TN)","Florida",6,13,1,5
"977",0,2016-10-01,"Georgia St.","Appalachian State (NC)",3,17,0,5
"978",0,2016-10-01,"Idaho","Troy (AL)",13,34,1,5
"979",0,2016-10-01,"Louisiana-Lafayette","New Mexico St.",31,37,0,5
"980",0,2016-10-01,"Louisiana-Monroe","Auburn (AL)",7,58,0,5
"981",1,2016-10-01,"Texas St.","Incarnate Word (TX)",48,17,1,5
"982",1,2016-10-01,"South Alabama","San Diego St. (CA)",42,24,1,5
"983",1,2016-10-01,"Troy (AL)","Idaho",34,13,0,5
"984",0,2016-10-01,"Cal Poly-San Luis Obispo","North Dakota",24,31,0,5
"985",1,2016-10-01,"Eastern Washington","California-Davis",63,30,1,5
"986",0,2016-10-01,"Idaho St.","Portland St. (OR)",20,45,0,5
"987",1,2016-10-01,"Appalachian State (NC)","Georgia St.",17,3,1,5
"988",1,2016-10-01,"Montana","Southern Utah",43,20,1,5
"989",0,2016-10-01,"Montana St.","Cal St.-Sacramento",38,41,0,5
"990",1,2016-10-01,"North Dakota","Cal Poly-San Luis Obispo",31,24,1,5
"991",1,2016-10-01,"Northern Colorado","Northern Arizona",21,18,1,5
"992",1,2016-10-01,"Portland St. (OR)","Idaho St.",45,20,1,5
"993",1,2016-10-01,"Cal St.-Sacramento","Montana St.",41,38,1,5
"994",0,2016-10-01,"Southern Utah","Montana",20,43,0,5
"995",0,2016-10-01,"California-Davis","Eastern Washington",30,63,0,5
"996",1,2016-10-01,"Liberty (VA)","Robert Morris (PA)",41,7,1,5
"997",1,2016-10-01,"Kennesaw St. (GA)","Furman (SC)",52,42,0,5
"998",1,2016-10-01,"Monmouth (NJ)","Fordham (NY)",42,41,1,5
"999",0,2016-10-01,"Northern Arizona","Northern Colorado",18,21,0,5
"1000",0,2016-10-01,"Elon (NC)","Villanova (PA)",7,42,1,5
"1001",0,2016-10-01,"Delaware","James Madison (VA)",20,43,0,5
"1002",1,2016-10-01,"James Madison (VA)","Delaware",43,20,1,5
"1003",1,2016-10-01,"Rhode Island","Brown (RI)",28,13,1,5
"1004",1,2016-10-01,"New Hampshire","William & Mary (VA)",21,12,1,5
"1005",1,2016-10-01,"Richmond (VA)","Towson (MD)",31,28,1,5
"1006",0,2016-10-01,"Towson (MD)","Richmond (VA)",28,31,0,5
"1007",1,2016-10-01,"Villanova (PA)","Elon (NC)",42,7,0,5
"1008",0,2016-10-01,"William & Mary (VA)","New Hampshire",12,21,0,5
"1009",0,2016-10-01,"Coastal Carolina (SC)","Charleston Southern (SC)",58,59,1,5
"1010",0,2016-10-01,"Brown (RI)","Rhode Island",13,28,0,5
"1011",0,2016-10-01,"Columbia (NY)","Princeton (NJ)",13,48,1,5
"1012",1,2016-10-01,"Princeton (NJ)","Columbia (NY)",48,13,0,5
"1013",1,2016-10-01,"Maine","Bryant (RI)",35,31,1,5
"1014",0,2016-10-01,"Bethune-Cookman (FL)","North Carolina Central",14,31,1,5
"1015",1,2016-10-01,"Florida A&M","Savannah St. (GA)",19,14,1,5
"1016",0,2016-10-01,"Delaware St.","Morgan St. (MD)",17,20,0,5
"1017",1,2016-10-01,"Howard (DC)","Norfolk St. (VA)",33,28,0,5
"1018",0,2016-10-01,"Norfolk St. (VA)","Howard (DC)",28,33,1,5
"1019",1,2016-10-01,"Morgan St. (MD)","Delaware St.",20,17,1,5
"1020",1,2016-10-01,"Cornell (NY)","Colgate (NY)",39,38,0,5
"1021",0,2016-10-01,"Yale (CT)","Lehigh (PA)",35,63,1,5
"1022",0,2016-10-01,"Illinois St.","North Dakota St.",10,31,0,5
"1023",0,2016-10-01,"Savannah St. (GA)","Florida A&M",14,19,0,5
"1024",1,2016-10-01,"North Dakota St.","Illinois St.",31,10,1,5
"1025",1,2016-10-01,"Missouri St.","Indiana St.",45,24,0,5
"1026",1,2016-10-01,"Northern Iowa","Southern Illinois",42,21,1,5
"1027",0,2016-10-01,"South Dakota","Youngstown St. (OH)",20,30,0,5
"1028",1,2016-10-01,"South Dakota St.","Western Illinois",52,14,1,5
"1029",1,2016-10-01,"North Carolina Central","Bethune-Cookman (FL)",31,14,0,5
"1030",1,2016-10-01,"Youngstown St. (OH)","South Dakota",30,20,1,5
"1031",0,2016-10-01,"Western Illinois","South Dakota St.",14,52,0,5
"1032",0,2016-10-01,"Southern Illinois","Northern Iowa",21,42,0,5
"1033",1,2016-10-01,"Duquesne (PA)","Jacksonville (FL)",54,35,0,5
"1034",0,2016-10-01,"Robert Morris (PA)","Liberty (VA)",7,41,0,5
"1035",0,2016-10-01,"Indiana St.","Missouri St.",24,45,1,5
"1036",0,2016-10-01,"Sacred Heart (CT)","Wagner (NY)",20,45,0,5
"1037",1,2016-10-01,"Wagner (NY)","Sacred Heart (CT)",45,20,1,5
"1038",0,2016-10-01,"Austin Peay St. (TN)","Murray St. (KY)",17,45,1,5
"1039",0,2016-10-01,"Eastern Illinois","Southeast Missouri St.",14,21,0,5
"1040",0,2016-10-01,"Eastern Kentucky","Tennessee Tech",30,33,0,5
"1041",1,2016-10-01,"Murray St. (KY)","Austin Peay St. (TN)",45,17,0,5
"1042",1,2016-10-01,"Tennessee St.","Tennessee-Martin",34,30,1,5
"1043",1,2016-10-01,"Southeast Missouri St.","Eastern Illinois",21,14,1,5
"1044",0,2016-10-01,"Bryant (RI)","Maine",31,35,0,5
"1045",0,2016-10-01,"Tennessee-Martin","Tennessee St.",30,34,0,5
"1046",1,2016-10-01,"Tennessee Tech","Eastern Kentucky",33,30,1,5
"1047",0,2016-10-01,"Colgate (NY)","Cornell (NY)",38,39,1,5
"1048",1,2016-10-01,"Holy Cross (MA)","Lafayette (PA)",38,28,0,5
"1049",0,2016-10-01,"Lafayette (PA)","Holy Cross (MA)",28,38,1,5
"1050",1,2016-10-01,"Lehigh (PA)","Yale (CT)",63,35,0,5
"1051",0,2016-10-01,"Davidson (NC)","Stetson (FL)",27,31,1,5
"1052",0,2016-10-01,"Butler (IN)","San Diego (CA)",10,44,1,5
"1053",0,2016-10-01,"Campbell (NC)","Marist (NY)",7,24,0,5
"1054",1,2016-10-01,"Dayton (OH)","Drake (IA)",35,10,1,5
"1055",0,2016-10-01,"Drake (IA)","Dayton (OH)",10,35,0,5
"1056",0,2016-10-01,"Jacksonville (FL)","Duquesne (PA)",35,54,1,5
"1057",0,2016-10-01,"Fordham (NY)","Monmouth (NJ)",41,42,0,5
"1058",1,2016-10-01,"Morehead St. (KY)","Valparaiso (IN)",29,26,1,5
"1059",1,2016-10-01,"San Diego (CA)","Butler (IN)",44,10,0,5
"1060",1,2016-10-01,"Tennessee-Chattanooga","East Tennessee St.",37,7,0,5
"1061",1,2016-10-01,"Stetson (FL)","Davidson (NC)",31,27,0,5
"1062",0,2016-10-01,"Valparaiso (IN)","Morehead St. (KY)",26,29,0,5
"1063",0,2016-10-01,"East Tennessee St.","Tennessee-Chattanooga",7,37,1,5
"1064",0,2016-10-01,"Furman (SC)","Kennesaw St. (GA)",42,52,1,5
"1065",1,2016-10-01,"Mercer (GA)","Virginia Military Institute",33,30,0,5
"1066",1,2016-10-01,"Samford (AL)","Wofford (SC)",28,26,1,5
"1067",1,2016-10-01,"Citadel (SC)","Western Carolina (NC)",37,14,0,5
"1068",0,2016-10-01,"Western Carolina (NC)","Citadel (SC)",14,37,1,5
"1069",0,2016-10-01,"Wofford (SC)","Samford (AL)",26,28,0,5
"1070",1,2016-10-01,"Central Arkansas","Abilene Christian (TX)",58,27,0,5
"1071",1,2016-10-01,"Marist (NY)","Campbell (NC)",24,7,1,5
"1072",0,2016-10-01,"Abilene Christian (TX)","Central Arkansas",27,58,1,5
"1073",0,2016-10-01,"Incarnate Word (TX)","Texas St.",17,48,0,5
"1074",0,2016-10-01,"Houston Baptist (TX)","Western Kentucky",3,50,0,5
"1075",1,2016-10-01,"McNeese St. (LA)","Nicholls St. (LA)",38,13,1,5
"1076",0,2016-10-01,"Nicholls St. (LA)","McNeese St. (LA)",13,38,0,5
"1077",1,2016-10-01,"Lamar (TX)","Southeastern Louisiana",38,14,1,5
"1078",1,2016-10-01,"Sam Houston St. (TX)","Stephen F. Austin (TX)",63,28,1,5
"1079",0,2016-10-01,"Alabama A&M","Texas Southern",31,34,0,5
"1080",0,2016-10-01,"Stephen F. Austin (TX)","Sam Houston St. (TX)",28,63,1,5
"1081",0,2016-10-01,"Southeastern Louisiana","Lamar (TX)",14,38,0,5
"1082",0,2016-10-01,"Virginia Military Institute","Mercer (GA)",30,33,1,5
"1083",1,2016-10-01,"Alabama St.","Arkansas-Pine Bluff",41,21,1,5
"1084",1,2016-10-01,"Grambling St. (LA)","Prairie View A&M (TX)",36,16,1,5
"1085",1,2016-10-01,"Texas Southern","Alabama A&M",34,31,1,5
"1086",0,2016-10-01,"Arkansas-Pine Bluff","Alabama St.",21,41,0,5
"1087",1,2016-10-01,"Jackson St. (MS)","Mississippi Valley St.",16,14,1,5
"1088",0,2016-10-01,"Alcorn St. (MS)","Arkansas",10,52,0,5
"1089",0,2016-10-01,"Mississippi Valley St.","Jackson St. (MS)",14,16,0,5
"1090",1,2016-10-05,"Arkansas St.","Georgia Southern",27,26,1,6
"1091",0,2016-10-05,"Georgia Southern","Arkansas St.",26,27,0,6
"1092",1,2016-10-06,"Memphis (TN)","Temple (PA)",34,27,1,6
"1093",0,2016-10-06,"Temple (PA)","Memphis (TN)",27,34,0,6
"1094",1,2016-10-06,"Louisiana Tech","Western Kentucky",55,52,1,6
"1095",0,2016-10-06,"Western Kentucky","Louisiana Tech",52,55,0,6
"1096",0,2016-10-06,"Norfolk St. (VA)","North Carolina A&T",0,35,0,6
